Pāli1	POS	Pattern	count
vitakka	masc	a masc	171.0
tapassī	masc	ī masc	170.0
vuṭṭhita	pp	a pp	169.0
saha	ind		169.0
bhojanīya	nt	a nt	169.0
kittāvatā	ind		169.0
kinti	ind		168.0
ambho	ind		168.0
bhāvitatta	nt	a nt	168.0
kupita	pp	a pp	168.0
rahas	masc	as masc	168.0
akāsi	aor	āsi aor	167.0
ṭhiti	fem	i fem	167.0
yañña	masc	a masc	167.0
raho	ind		166.0
atho	ind		166.0
agārava	adj	a adj	166.0
appamāda	masc	a masc	165.0
byākata	pp	a pp	165.0
chetvā	abs		165.0
nandati	pr	ati pr	165.0
pahātuṃ	inf		165.0
saṃvijjati	pr	ati pr	165.0
pasanna	adj	a adj	164.0
sukhī	masc	ī masc	164.0
paro	ind		164.0
nandī	fem	ī fem	164.0
mamaṃ	pron	ahaṃ pron	163.0
duppañña	adj	a adj	163.0
paccuppanna	adj	a adj	163.0
sahassa	card	a2 card	163.0
sakkoti	pr	oti pr	163.0
tiriyaṃ	ind		163.0
upāli	masc	i masc	163.0
muccati	pr	ati pr	162.0
pāsaṃsa	adj	a adj	162.0
caramāna	prp	māna prp	162.0
adinna	pp	a pp	162.0
abhibhuyya	ger		161.0
asappurisa	masc	a masc	161.0
niyata	adj	a adj	161.0
sekha	masc	a masc	161.0
aroga	adj	a adj	160.0
janeti	pr	eti pr	160.0
raṭṭha	nt	a nt	160.0
siras	masc	as masc	160.0
sucarita	adj	a adj	160.0
upekkhaka	adj	a adj	159.0
cāga	masc	a masc	159.0
ajjhāvasati	pr	ati pr	159.0
ghara	nt	a nt	158.0
nava	card	a1 card	158.0
sunakkhatta	masc	a masc	158.0
dhammī	adj	ī adj	158.0
āgacchanta	prp	anta prp	157.0
namas	masc	as masc	157.0
nigrodha	masc	a masc	157.0
pasavati	pr	ati pr	157.0
gaṅgā	fem	ā fem	156.0
tapas	masc	as masc	156.0
ñāti	masc	i masc	156.0
danta	masc	a masc	156.0
ajjatagge	ind		156.0
khalu	ind		155.0
methuna	adj	a adj	155.0
upapajjeyya	opt	eyya opt	155.0
vedeti	pr	eti pr	154.0
sāmañña	nt	a nt	154.0
uddha	adj	a adj	154.0
kaṭuka	adj	a adj	154.0
ahita	adj	a adj	154.0
bāhira	adj	a adj	154.0
ahita	nt	a nt	154.0
anavajja	adj	a adj	153.0
laddha	pp	a pp	153.0
namati	pr	ati pr	153.0
subhāsita	adj	a adj	153.0
vandati	pr	ati pr	153.0
uposatha	masc	a masc	152.0
paṭinissagga	masc	a masc	152.0
attato	ind		152.0
avaca	imperf	avaca imperf	151.0
bhadanta	masc	anta masc	151.0
parimuccati	pr	ati pr	151.0
samatikkama	masc	a masc	151.0
samudācarati	pr	ati pr	151.0
vagga	masc	a masc	151.0
maññeyya	opt	eyya opt	150.0
licchavi	masc	i masc	150.0
kaṭṭha	nt	a nt	150.0
dūre	ind		150.0
ananta	adj	a adj	150.0
pasīdati	pr	ati pr	149.0
vuṭṭhi	fem	i fem	149.0
upasampadā	fem	ā fem	149.0
tevijja	adj	a adj	149.0
paṭinissajjati	pr	ati pr	149.0
nidāna	nt	a nt	149.0
mettā	fem	ā fem	149.0
kodha	masc	a masc	149.0
assutavant	adj	ant adj	149.0
arahati	pr	ati pr	149.0
amutra	ind		149.0
akkhāti	pr	āti pr	149.0
anārambha	adj	a adj	148.0
dassati	fut	ssati fut	148.0
ramaṇīya	adj	a adj	148.0
sabrahmaka	adj	a adj	148.0
samāpajji	aor	i aor	148.0
santuṭṭha	pp	a pp	148.0
vivarati	pr	ati pr	148.0
kaṇha	adj	a adj	147.0
paccavekkhamāna	prp	māna prp	147.0
thapati	masc	i masc	147.0
dullabha	adj	a adj	147.0
ajjhabhāsi	aor	āsi aor	146.0
pāṇi	masc	i masc	146.0
paṭisallāna	nt	a nt	146.0
pāṇī	masc	ī masc	145.0
saparikkamana	adj	a adj	145.0
sāratta	pp	a pp	145.0
matta	adj	a adj	144.0
sārambha	adj	a adj	144.0
pavedeti	pr	eti pr	144.0
mata	pp	a pp	144.0
kuṭi	fem	i fem	144.0
bhaddaka	adj	aka adj	144.0
agamāsi	aor	āsi aor	144.0
adhigata	pp	a pp	144.0
dubbaṇṇa	adj	a adj	143.0
sena	masc	a masc	143.0
vera	nt	a nt	143.0
acela	adj	a adj	142.0
bhiyyobhāva	masc	a masc	142.0
maṃsa	nt	a nt	142.0
paviṭṭha	pp	a pp	142.0
vattabba	ptp	a ptp	141.0
haññati	pr	ati pr	141.0
rādha	masc	a masc	141.0
pāmojja	nt	a nt	141.0
phuṭṭha	pp	a pp	141.0
ittha	ind		140.0
maṇi	masc	i masc	140.0
ñatvā	abs		140.0
rājañña	masc	a masc	140.0
seti	pr	eti pr	140.0
puccheyya	opt	eyya opt	140.0
tuyhaṃ	pron	tvaṃ pron	138.0
avera	adj	a adj	138.0
saññī	adj	ī adj	138.0
velā	fem	ā fem	138.0
soka	masc	a masc	137.0
āditta	adj	a adj	137.0
purato	ind		137.0
nāssa	opt	ssa opt	137.0
āraddha	pp	a pp	136.0
senā	fem	ā fem	136.0
yāma	masc	a masc	136.0
uju	adj	u adj	136.0
sukara	adj	a adj	136.0
tejas	masc	as masc	136.0
samāpajjati	pr	ati pr	136.0
kallaṃ	ind		136.0
seyyā	fem	ā fem	136.0
paricca	ger		135.0
bhāseyya	opt	eyya opt	135.0
vijānāti	pr	āti pr	135.0
svākkhāta	adj	a adj	135.0
pivati	pr	ati pr	135.0
kubbati	pr	kubbati pr	135.0
harati	pr	ati pr	135.0
āyu	nt	u nt	135.0
appahīna	pp	a pp	135.0
appa	adj	a adj	135.0
aññātaka	adj	aka adj	135.0
upasama	masc	a masc	134.0
sīta	adj	a adj	134.0
sārathi	masc	i masc	134.0
phusati	pr	ati pr	134.0
samāraka	adj	a adj	134.0
atikkamma	ger		134.0
amata	nt	a nt	134.0
amata	adj	a adj	134.0
vuṭṭhāpeti	pr	eti pr	133.0
pariññāya	ger		133.0
gambhīra	adj	a adj	133.0
adāsi	aor	āsi aor	133.0
gava	masc	go masc	133.0
cetiya	nt	a nt	132.0
jahāti	pr	āti pr	132.0
kālāma	masc	a masc	132.0
khandha	masc	a masc	132.0
samanta	adj	a adj	132.0
sampassamāna	prp	māna prp	131.0
sāra	masc	a masc	131.0
sāra	adj	a adj	131.0
vimutti	fem	i fem	131.0
asura	masc	a masc	131.0
medhāvī	masc	ī masc	130.0
dadeyya	opt	eyya opt	130.0
viññāta	pp	a pp	130.0
udāneti	pr	eti pr	130.0
sadā	ind		130.0
hatthī	masc	ī masc	130.0
dīpeti	pr	eti pr	130.0
bandhati	pr	ati pr	130.0
asassata	adj	a adj	130.0
samādhiyati	pr	ati pr	129.0
upakkamati	pr	ati pr	129.0
uddhaṃ	ind		129.0
suñña	adj	a adj	129.0
purāṇa	adj	a adj	129.0
paṭicchanna	pp	a pp	129.0
muta	pp	a pp	129.0
phāsu	masc	u masc	129.0
pāpuṇāti	pr	āti pr	128.0
samudda	masc	a masc	128.0
saṃ	abbrev		128.0
passitabba	ptp	a ptp	128.0
assaddha	adj	a adj	128.0
aparisesa	adj	a adj	128.0
anukampā	fem	ā fem	128.0
añjali	masc	i masc	128.0
abhinandati	pr	ati pr	128.0
daṇḍa	masc	a masc	127.0
nābhinandati	pr	ati pr	127.0
parinibbāyati	pr	ati pr	127.0
potthaka	masc	a masc	127.0
sarati	pr	ati pr	127.0
vinidhāya	ger		127.0
vatteti	pr	eti pr	126.0
suvaṇṇa	adj	a adj	126.0
upādiyati	pr	ati pr	126.0
pariharati	pr	ati pr	126.0
abhikkantatara	adj	a adj	126.0
nigacchati	pr	ati pr	126.0
bhajati	pr	ati pr	126.0
āpadā	fem	ā fem	126.0
namo	ind		126.0
bhoti	fem	i fem	126.0
nacira	adj	a adj	126.0
kammaniya	adj	a adj	125.0
labheyya	opt	eyya opt	125.0
uttariṃ	ind		125.0
udānesi	aor	esi aor	125.0
ṭhapetvā	abs		125.0
kāreti	pr	eti pr	125.0
gaṇhati	pr	ati pr	125.0
dakkhati	fut	ati fut	125.0
byañjana	nt	a nt	125.0
bhaddā	fem	ā fem	125.0
aññathatta	nt	a nt	125.0
padahati	pr	ati pr	124.0
veḷuvana	nt	a nt	124.0
vayas	masc	as masc	124.0
ubhaya	adj	ubhaya adj	124.0
parihāni	fem	i fem	124.0
kasmā	ind		124.0
nanu	ind		124.0
bhāventa	prp	enta prp	124.0
āhuneyya	adj	a adj	124.0
adhikaraṇa	nt	a nt	124.0
jaññā	ger		124.0
caturāsīti	card	i card	123.0
dukkhita	adj	a adj	123.0
nālaṃ	ind		123.0
sikkhamānā	fem	ā fem	123.0
tividha	adj	a adj	123.0
paṇidhāya	ger		122.0
upasaṃharati	pr	ati pr	122.0
antamaso	ind		122.0
ciraṃ	ind		122.0
kātabba	ptp	a ptp	121.0
ujuṃ	ind		121.0
sāvajja	adj	a adj	121.0
saṅkhata	pp	a pp	121.0
odāta	adj	a adj	121.0
kaṅkhā	fem	ā fem	121.0
agilāna	adj	a adj	121.0
abhivadati	pr	ati pr	121.0
pūjeti	pr	eti pr	120.0
ujjhāyanta	prp	anta prp	120.0
subha	adj	a adj	120.0
ratha	masc	a masc	120.0
passitvā	abs		120.0
kodhana	adj	a adj	120.0
hitvā	abs		120.0
ārādheti	pr	eti pr	120.0
appaccaya	masc	a masc	120.0
āgameti	pr	eti pr	120.0
tiṇa	nt	a nt	119.0
dvāra	nt	a nt	119.0
adhimatta	adj	a adj	119.0
assasissati	fut	issati fut	119.0
sara	masc	a masc	118.0
ṭhassati	fut	ssati fut	118.0
sela	masc	a masc	118.0
daḷha	adj	a adj	118.0
aparaṃ	ind		118.0
abhinivissa	ger		118.0
patti	fem	i fem	117.0
yāpeti	pr	eti pr	117.0
vippakata	pp	a pp	117.0
samāpatti	fem	i fem	117.0
jahati	pr	ati pr	117.0
passasissati	fut	issati fut	117.0
pāna	nt	a nt	117.0
majjhe	ind		117.0
dūrato	ind		117.0
āgama	masc	a masc	117.0
pakkhandati	pr	ati pr	116.0
patirūpa	adj	a adj	116.0
pāsādika	adj	a adj	116.0
nikkhamati	pr	ati pr	116.0
antaradhāyi	aor	i aor	116.0
māneti	pr	eti pr	116.0
bhātar	masc	ar2 masc	116.0
pokkharaṇī	fem	pokkharaṇī fem	115.0
dhāreyya	opt	eyya opt	115.0
yācati	pr	ati pr	115.0
paṭisevati	pr	ati pr	115.0
ovadati	pr	ati pr	115.0
miga	masc	a masc	115.0
paññāpeti	pr	eti pr	115.0
pāsāda	masc	a masc	114.0
samanuñña	adj	a adj	114.0
ohāretvā	abs		114.0
paccājāyati	pr	ati pr	114.0
parisodheti	pr	eti pr	114.0
jiṇṇa	adj	a adj	114.0
khiyyanta	prp	anta prp	114.0
vuccamāna	prp	māna prp	113.0
kāsāya	adj	a adj	113.0
lābhā	ind		113.0
dī	abbrev		113.0
byatta	adj	a adj	113.0
avidūre	ind		113.0
acchādetvā	abs		113.0
abyākata	pp	a pp	113.0
abhūta	pp	a pp	112.0
daṇḍa	nt	a nt	112.0
dhātu	fem	u fem	112.0
paggaṇhāti	pr	āti pr	112.0
puratthima	adj	a adj	112.0
sabyābajjha	adj	a adj	112.0
salla	masc	a masc	112.0
suddha	adj	a adj	112.0
sagārava	adj	a adj	111.0
rūpī	adj	ī adj	111.0
dūta	masc	a masc	111.0
santhata	nt	a nt	111.0
upamā	fem	ā fem	111.0
pāpika	adj	a adj	111.0
khama	adj	a adj	111.0
anaṅgaṇa	adj	a adj	111.0
baddha	pp	a pp	111.0
asevitabba	ptp	a ptp	111.0
asamāhita	pp	a pp	111.0
appaka	adj	a adj	111.0
dammi	pr	dammi pr	111.0
uppajjamāna	prp	māna prp	110.0
suṇoti	pr	oti pr	110.0
sakuṇa	masc	a masc	110.0
udāhu	ind		110.0
khara	adj	a adj	110.0
devī	fem	ī fem	110.0
appaka	nt	a nt	110.0
akata	pp	a pp	110.0
abhisambuddha	pp	a pp	110.0
khema	masc	a masc	110.0
kayirā	opt	kayirā opt	109.0
uddiṭṭha	pp	a pp	109.0
sudda	masc	a masc	109.0
saṃsaṭṭha	pp	a pp	109.0
pakāseti	pr	eti pr	109.0
āyāti	pr	āti pr	109.0
āpas	masc	as masc	109.0
āloka	masc	a masc	109.0
ajjhattika	adj	a adj	109.0
savitakka	adj	a adj	108.0
paricita	pp	a pp	108.0
ratana	nt	a nt	108.0
pariññā	fem	ā fem	108.0
katthaci	ind		108.0
ñāya	masc	a masc	107.0
panta	adj	a adj	107.0
posa	masc	a masc	107.0
sakkatvā	abs		107.0
savicāra	adj	a adj	107.0
vigarahitvā	abs		107.0
vipācenta	prp	enta prp	107.0
vambheti	pr	eti pr	106.0
lobha	masc	a masc	106.0
namassati	pr	ati pr	106.0
dāyaka	masc	a masc	106.0
avaṇṇa	masc	a masc	106.0
abhijānāti	pr	āti pr	106.0
sambhavati	pr	ati pr	105.0
vasanta	prp	anta prp	105.0
sannipatita	pp	a pp	105.0
adhigacchati	pr	ati pr	105.0
māna	masc	a masc	105.0
khamanīya	adj	a adj	105.0
parikkhāra	masc	a masc	104.0
virata	pp	a pp	104.0
saṇṭhāti	pr	āti pr	104.0
pavisitvā	abs		104.0
paripuṇṇa	pp	a pp	104.0
pāra	nt	a nt	104.0
mātalī	masc	ī masc	104.0
aparikkamana	adj	a adj	104.0
abhiññāta	adj	a adj	104.0
codaka	masc	a masc	103.0
vatvā	abs		103.0
sabyañjana	adj	a adj	103.0
saṃvuta	pp	a pp	103.0
cetāpeti	pr	eti pr	103.0
bhāsitar	masc	ar masc	103.0
sukhena	ind		102.0
sakiṃ	ind		102.0
roga	masc	a masc	102.0
paccakkhāya	ger		102.0
obhāsa	masc	a masc	102.0
duggata	adj	a adj	102.0
asaṃvuta	pp	a pp	102.0
anumoditvā	abs		102.0
animitta	adj	a adj	102.0
ākaṅkhamāna	prp	māna prp	102.0
