"Pāli1"	"POS"	"Grammar"	"Pāli Root"	"Pattern"	"count"	"found"
"dīghanikāya"	"masc"	""	""	"a masc"	"7"	"{'dīghanikāyo': 4, 'dīghanikāye': 3}"
"ditta"	"pp"	""	"√dīp 3 (shine, blaze)"	"a pp"	"7"	"{'ditto': 7}"
"diṭṭhavāditar"	"masc"	""	""	"ar masc"	"7"	"{'diṭṭhavāditā': 7}"
"diṭṭhisāmaññagata"	"adj"	""	""	"a adj"	"7"	"{'diṭṭhisāmaññagato': 6, 'diṭṭhisāmaññagatā': 1}"
"diṭṭhisaṃyojana"	"nt"	""	""	"a nt"	"7"	"{'diṭṭhisaṃyojanaṃ': 6, 'diṭṭhisaṃyojanassa': 1}"
"diyyati"	"pr"	""	"√dā 1 (give)"	"ati pr"	"7"	"{'diyyati': 5, 'diyyanti': 2}"
"dubbaṇṇatara"	"adj"	""	""	"a adj"	"7"	"{'dubbaṇṇatarā': 5, 'dubbaṇṇataro': 2}"
"dubbha"	"adj"	""	""	"a adj"	"7"	"{'dubbhe': 4, 'dubbhato': 2, 'dubbho': 1}"
"dubhaya"	"adj"	""	""	"a adj"	"7"	"{'dubhayaṃ': 3, 'dubhayāni': 2, 'dubhayo': 2}"
"duddada"	"adj"	""	"√dā 1 (give)"	"a adj"	"7"	"{'duddadaṃ': 7}"
"dujivha"	"masc"	""	""	"a masc"	"7"	"{'dujivha': 3, 'dujivhaṃ': 2, 'dujivhā': 2}"
"duppariyogāha"	"adj"	""	""	"a adj"	"7"	"{'duppariyogāho': 7}"
"dūrama"	"adj"	""	"√ram 1 (delight, please)"	"a adj"	"7"	"{'dūramaṃ': 7}"
"dvedhikajāta"	"adj"	""	""	"a adj"	"7"	"{'dvedhikajātā': 7}"
"dvidhāpatha"	"masc"	""	""	"a masc"	"7"	"{'dvidhāpathaṃ': 4, 'dvidhāpatho': 3}"
"dvīha"	"nt"	""	""	"a nt"	"7"	"{'dvīhena': 2, 'dvīhāya': 2, 'dvīha': 3}"
"dvīhamata"	"adj"	""	""	"a adj"	"7"	"{'dvīhamataṃ': 7}"
"dvīhika"	"adj"	""	""	"a adj"	"7"	"{'dvīhikaṃ': 7}"
"ekabhatta"	"nt"	""	""	"a nt"	"7"	"{'ekabhattaṃ': 5, 'ekabhattā': 2}"
"ekāhamata"	"adj"	""	""	"a adj"	"7"	"{'ekāhamataṃ': 7}"
"ekarattaṃ"	"ind"	""	""	""	"7"	"{'ekarattaṃ': 7}"
"ekāsana"	"adj"	""	""	"a adj"	"7"	"{'ekāsanassa': 3, 'ekāsanaṃ': 2, 'ekāsane': 1, 'ekāsano': 1}"
"ekodibhāvādhigata"	"adj"	""	""	"a adj"	"7"	"{'ekodibhāvādhigato': 4, 'ekodibhāvādhigatena': 2, 'ekodibhāvādhigatā': 1}"
"eṇijaṅgha"	"adj"	""	""	"a adj"	"7"	"{'eṇijaṅgho': 4, 'eṇijaṅghaṃ': 2, 'eṇijaṅghena': 1}"
"evācāra"	"adj"	""	""	"a adj"	"7"	"{'evācārā': 7}"
"evaṃsadda"	"masc"	""	""	"a masc"	"7"	"{'evaṃsaddā': 7}"
"gaha"	"masc"	""	"√gah 6 (grasp)"	"a masc"	"7"	"{'gahe': 4, 'gahāya': 2, 'gaho': 1}"
"gahapaticīvaradhara"	"adj"	""	""	"a adj"	"7"	"{'gahapaticīvaradharo': 6, 'gahapaticīvaradharaṃ': 1}"
"garukaronta"	"prp"	"comp vb"	""	"onta prp"	"7"	"{'garukaronti': 4, 'garukaronto': 3}"
"gayhati"	"pr"	""	"√gah 6 (grasp)"	"ati pr"	"7"	"{'gayhati': 4, 'gayheyya': 1, 'gayha': 2}"
"ghānāyatana"	"nt"	""	""	"a nt"	"7"	"{'ghānāyatanaṃ': 7}"
"gharamāvasanta"	"prp"	""	""	"anta prp"	"7"	"{'gharamāvasaṃ': 4, 'gharamāvasanto': 2, 'gharamāvasantā': 1}"
"ghāsacchāda"	"masc"	""	""	"a masc"	"7"	"{'ghāsacchādo': 7}"
"ghaṭi"	"aor"	""	"√ghaṭ 1 (be busy with, strive)"	"i aor"	"7"	"{'ghaṭo': 5, 'ghaṭī': 1, 'ghaṭa': 1}"
"ghaṭikā"	"fem"	""	"√ghaṭ 1 (join together)"	"ā fem"	"7"	"{'ghaṭikaṃ': 6, 'ghaṭikā': 1}"
"gilānupaṭṭhāka"	"masc"	""	""	"a masc"	"7"	"{'gilānupaṭṭhāko': 5, 'gilānupaṭṭhākassa': 2}"
"gīveyyaka"	"nt"	""	""	"a nt"	"7"	"{'gīveyyakāya': 3, 'gīveyyake': 2, 'gīveyyakena': 2}"
"gonaka"	"masc"	""	""	"a masc"	"7"	"{'gonake': 3, 'gonakaṃ': 2, 'gonako': 2}"
"gopānasivaṅka"	"adj"	""	""	"a adj"	"7"	"{'gopānasivaṅkaṃ': 5, 'gopānasivaṅko': 2}"
"gopariṇāyaka"	"masc"	""	""	"a masc"	"7"	"{'gopariṇāyakā': 7}"
"gopitar"	"masc"	"comp"	""	"ar2 masc"	"7"	"{'gopitaro': 7}"
"gopphakaṭṭhika"	"nt"	""	""	"a nt"	"7"	"{'gopphakaṭṭhikaṃ': 7}"
"gosiṅgasālavanadāya"	"masc"	""	""	"a masc"	"7"	"{'gosiṅgasālavanadāyo': 5, 'gosiṅgasālavanadāye': 2}"
"gotamasāsana"	"nt"	""	""	"a nt"	"7"	"{'gotamasāsanamhi': 2, 'gotamasāsanā': 2, 'gotamasāsanāni': 1, 'gotamasāsane': 1, 'gotamasāsanamhā': 1}"
"govata"	"nt"	""	""	"a nt"	"7"	"{'govataṃ': 7}"
"haliddavasana"	"nt"	""	""	"a nt"	"7"	"{'haliddavasane': 4, 'haliddavasanaṃ': 3}"
"hana"	"adj"	""	"√han 1 (strike, kill)"	"a adj"	"7"	"{'hane': 6, 'hana': 1}"
"haññi"	"aor"	""	"√han 1 (strike, kill)"	"i aor"	"7"	"{'haññiṃsu': 6, 'hañño': 1}"
"hantabba"	"ptp"	""	"√han 1 (strike, kill)"	"a ptp"	"7"	"{'hantabbo': 7}"
"hasanta"	"prp"	""	"√has 1 (elate, laugh)"	"anta prp"	"7"	"{'hasantā': 2, 'hasanto': 2, 'hasantiyā': 2, 'hasanti': 1}"
"hatthiyāna"	"nt"	""	""	"a nt"	"7"	"{'hatthiyānaṃ': 5, 'hatthiyānāni': 2}"
"hotuṃ"	"inf"	""	"√hū 1 (be)"	""	"7"	"{'hotuṃ': 7}"
"idhūpasaṅkanta"	"adj"	""	""	"a adj"	"7"	"{'idhūpasaṅkantā': 5, 'idhūpasaṅkanto': 2}"
"indriyasampanna"	"adj"	""	""	"a adj"	"7"	"{'indriyasampanno': 7}"
"īsa"	"masc"	""	"√īs 3 (have power)"	"a masc"	"7"	"{'īsā': 3, 'īso': 2, 'īsaṃ': 1, 'īsānaṃ': 1}"
"itthika"	"adj"	""	""	"a adj"	"7"	"{'itthikā': 5, 'itthikāya': 2}"
"itthikā"	"fem"	""	""	"ā fem"	"7"	"{'itthikā': 5, 'itthikāya': 2}"
"janaka"	"masc"	""	"√jan 3 (be born, produce)"	"a masc"	"7"	"{'janaka': 4, 'janakā': 1, 'janako': 1, 'janakassa': 1}"
"jānitabba"	"ptp"	""	"√ñā 5 (know)"	"a ptp"	"7"	"{'jānitabbaṃ': 3, 'jānitabbo': 2, 'jānitabbā': 2}"
"jarāvagga"	"masc"	""	""	"a masc"	"7"	"{'jarāvaggo': 6, 'jarāvagge': 1}"
"jaṭilaka"	"masc"	""	"√jaṭ 1 (twist, tangle)"	"a masc"	"7"	"{'jaṭilakassa': 4, 'jaṭilako': 2, 'jaṭilakaṃ': 1}"
"jāyamāna"	"prp"	""	"√jan 3 (be born, produce)"	"māna prp"	"7"	"{'jāyamāno': 4, 'jāyamānā': 1, 'jāyamānaṃ': 1, 'jāyamānamhi': 1}"
"jighacchādubbalya"	"nt"	""	""	"a nt"	"7"	"{'jighacchādubbalyaṃ': 4, 'jighacchādubbalyena': 2, 'jighacchādubbalya': 1}"
"jigīsanta"	"prp"	""	"√ji 1 (conquer)"	"anta prp"	"7"	"{'jigīsato': 4, 'jigīsaṃ': 3}"
"jigucchitabba"	"ptp"	""	"√gup 1 (dislike)"	"a ptp"	"7"	"{'jigucchitabbo': 4, 'jigucchitabbaṃ': 3}"
"jivhāyatana"	"nt"	""	""	"a nt"	"7"	"{'jivhāyatanaṃ': 7}"
"jīvitasaṅkhaya"	"masc"	""	""	"a masc"	"7"	"{'jīvitasaṅkhaye': 4, 'jīvitasaṅkhayamhi': 2, 'jīvitasaṅkhayā': 1}"
"juṇha"	"adj"	""	"√jus 6 (like, please)"	"a adj"	"7"	"{'juṇhāya': 2, 'juṇhaṃ': 2, 'juṇhā': 1, 'juṇhe': 1, 'juṇhamhi': 1}"
"jutīmant"	"adj"	""	"√jut 1 (shine)"	"ant adj"	"7"	"{'jutīmanto': 3, 'jutīmatā': 2, 'jutīmato': 2}"
"kadali"	"fem"	""	""	"i fem"	"7"	"{'kadaliṃ': 3, 'kadalī': 3, 'kadaliyo': 1}"
"kadalī"	"fem"	""	""	"ī fem"	"7"	"{'kadaliṃ': 3, 'kadalī': 3, 'kadaliyo': 1}"
"kakkasa"	"adj"	""	""	"a adj"	"7"	"{'kakkasā': 6, 'kakkasaṃ': 1}"
"kāḷaka"	"nt"	""	""	"a nt"	"7"	"{'kāḷakaṃ': 5, 'kāḷakāni': 1, 'kāḷakā': 1}"
"kaliggaha"	"masc"	""	""	"a masc"	"7"	"{'kaliggaho': 5, 'kaliggahena': 2}"
"kalyāṇamittasutta"	"nt"	""	""	"a nt"	"7"	"{'kalyāṇamittasuttaṃ': 7}"
"kāmarāgānusaya"	"masc"	""	""	"a masc"	"7"	"{'kāmarāgānusayo': 6, 'kāmarāgānusayassa': 1}"
"kammapaṭisaraṇa"	"adj"	""	""	"a adj"	"7"	"{'kammapaṭisaraṇo': 4, 'kammapaṭisaraṇā': 3}"
"kaṃsūpadhāraṇa"	"adj"	""	""	"a adj"	"7"	"{'kaṃsūpadhāraṇāni': 7}"
"kañcanasannibhattaca"	"adj"	""	""	"a adj"	"7"	"{'kañcanasannibhattaco': 7}"
"kaṇḍa"	"masc"	""	"√kaṇḍ 8 (break, pierce)"	"a masc"	"7"	"{'kaṇḍaṃ': 4, 'kaṇḍena': 1, 'kaṇḍe': 2}"
"kaṇḍa"	"nt"	""	"√kaṇḍ 8 (break, pierce)"	"a nt"	"7"	"{'kaṇḍaṃ': 4, 'kaṇḍena': 1, 'kaṇḍe': 2}"
"kaṇḍaka"	"adj"	""	"√kat 2 (cut)"	"a adj"	"7"	"{'kaṇḍakā': 2, 'kaṇḍako': 2, 'kaṇḍakaṃ': 2, 'kaṇḍakassa': 1}"
"kaṅkhāvitaraṇavisuddhi"	"fem"	""	""	"i fem"	"7"	"{'kaṅkhāvitaraṇavisuddhi': 4, 'kaṅkhāvitaraṇavisuddhiṃ': 3}"
"kapitthana"	"masc"	""	""	"a masc"	"7"	"{'kapitthanā': 5, 'kapitthano': 2}"
"kāraka"	"adj"	""	"√kar 7 (do, make)"	"a adj"	"7"	"{'kārako': 6, 'kārakā': 1}"
"kāraka"	"masc"	""	"√kar 7 (do, make)"	"a masc"	"7"	"{'kārako': 6, 'kārakā': 1}"
"kārāpita"	"pp"	""	"√kar 7 (do, make)"	"a pp"	"7"	"{'kārāpitaṃ': 5, 'kārāpito': 2}"
"karerimaṇḍalamāḷa"	"masc"	""	""	"a masc"	"7"	"{'karerimaṇḍalamāḷe': 4, 'karerimaṇḍalamāḷo': 3}"
"karī"	"adj"	""	"√kar 7 (do, make)"	"ī adj"	"7"	"{'kari': 4, 'karimhā': 1, 'kariṃ': 1, 'kariyā': 1}"
"kāriyamāna"	"prp"	""	"√kar 7 (do, make)"	"māna prp"	"7"	"{'kāriyamānassa': 6, 'kāriyamāno': 1}"
"kāsa"	"masc"	""	""	"a masc"	"7"	"{'kāsaṃ': 4, 'kāsā': 1, 'kāse': 1, 'kāso': 1}"
"kasiṇāyatana"	"nt"	""	""	"a nt"	"7"	"{'kasiṇāyatanāni': 6, 'kasiṇāyatanānaṃ': 1}"
"kasiravuttika"	"adj"	""	""	"a adj"	"7"	"{'kasiravuttike': 7}"
"kāsumārī"	"fem"	""	""	"ī fem"	"7"	"{'kāsumāriyo': 7}"
"katakusala"	"adj"	""	""	"a adj"	"7"	"{'katakusalo': 4, 'katakusalānaṃ': 2, 'katakusalā': 1}"
"kaṭaṭṭhika"	"nt"	""	""	"a nt"	"7"	"{'kaṭaṭṭhikaṃ': 7}"
"kathaṃkathī"	"adj"	""	""	"ī adj"	"7"	"{'kathaṃkathī': 5, 'kathaṃkathiṃ': 2}"
"kaṭṭhahāri"	"fem"	""	""	"i fem"	"7"	"{'kaṭṭhahāriyo': 6, 'kaṭṭhahāri': 1}"
"kavāṭa"	"nt"	""	""	"a nt"	"7"	"{'kavāṭena': 5, 'kavāṭaṃ': 2}"
"kāyabandhana"	"nt"	""	""	"a nt"	"7"	"{'kāyabandhanaṃ': 4, 'kāyabandhane': 2, 'kāyabandhanāni': 1}"
"kāyāyatana"	"nt"	""	""	"a nt"	"7"	"{'kāyāyatanaṃ': 7}"
"ketabī"	"adj"	""	""	"ī adj"	"7"	"{'ketabino': 7}"
"khādita"	"pp"	""	"√khād 1 (chew)"	"a pp"	"7"	"{'khāditaṃ': 3, 'khāditāni': 2, 'khādite': 1, 'khāditāse': 1}"
"khāditvā"	"abs"	""	"√khād 1 (chew)"	""	"7"	"{'khāditvā': 7}"
"khanati"	"pr"	""	"√khan 1 (hurt, break)"	"ati pr"	"7"	"{'khanati': 5, 'khanasi': 1, 'khanatha': 1}"
"khandhasutta"	"nt"	""	""	"a nt"	"7"	"{'khandhasuttaṃ': 7}"
"khañji"	"aor"	""	"√khañj 1 (limp)"	"i aor"	"7"	"{'khañjo': 6, 'khañjā': 1}"
"kharājina"	"nt"	""	""	"a nt"	"7"	"{'kharājinaṃ': 4, 'kharājinā': 2, 'kharājināni': 1}"
"khattiyakumāra"	"masc"	""	""	"a masc"	"7"	"{'khattiyakumāro': 4, 'khattiyakumārena': 3}"
"khattiyī"	"fem"	""	""	"ī fem"	"7"	"{'khattiyī': 5, 'khattiyiṃ': 2}"
"khiḍḍāpadosikā"	"masc"	""	""	"a masc pl"	"7"	"{'khiḍḍāpadosikā': 7}"
"khuppipāsā"	"fem"	""	""	"ā fem"	"7"	"{'khuppipāsāya': 2, 'khuppipāsā': 2, 'khuppipāsaṃ': 2, 'khuppipāsa': 1}"
"khura"	"nt"	""	"√khur 1 (cut)"	"a nt"	"7"	"{'khurena': 2, 'khurā': 2, 'khurassa': 1, 'khuraṃ': 1, 'khura': 1}"
"kiccakaraṇīya"	"nt"	""	""	"a nt"	"7"	"{'kiccakaraṇīyesu': 4, 'kiccakaraṇīyehi': 2, 'kiccakaraṇīyāni': 1}"
"kiccakārī"	"adj"	""	""	"ī adj"	"7"	"{'kiccakārī': 6, 'kiccakāriṃ': 1}"
"kiccakārī"	"masc"	""	""	"ī masc"	"7"	"{'kiccakārī': 6, 'kiccakāriṃ': 1}"
"kilañja"	"masc"	""	""	"a masc"	"7"	"{'kilañjena': 5, 'kilañjehi': 2}"
"kileseti"	"pr"	""	"√kilis 3 (be dirty, be molested)"	"eti pr"	"7"	"{'kilesehi': 3, 'kilese': 2, 'kilesessanti': 1, 'kilesissanti': 1}"
"kīḷitvā"	"abs"	""	"√kīḷ 1 (play)"	""	"7"	"{'kīḷitvā': 7}"
"kimbila"	"masc"	""	""	"a masc"	"7"	"{'kimbilo': 7}"
"kiṇha"	"adj"	""	""	"a adj"	"7"	"{'kiṇhā': 7}"
"kiṇitvā"	"abs"	""	"√kī 5 (buy)"	""	"7"	"{'kiṇitvā': 7}"
"kiriyavādī"	"adj"	""	""	"ī adj"	"7"	"{'kiriyavādī': 7}"
"kiriyavādī"	"masc"	""	""	"ī masc"	"7"	"{'kiriyavādī': 7}"
"kīṭa"	"masc"	""	""	"a masc"	"7"	"{'kīṭā': 3, 'kīṭe': 2, 'kīṭo': 1, 'kīṭaṃ': 1}"
"kīva"	"ind"	"interr"	""	""	"7"	"{'kīva': 7}"
"kokālikasutta"	"nt"	""	""	"a nt"	"7"	"{'kokālikasuttaṃ': 5, 'kokālikasutta': 2}"
"kola"	"adj"	""	"√kul 1 (be close)"	"a adj"	"7"	"{'kolaṃ': 4, 'kolo': 2, 'kolehi': 1}"
"kola"	"masc"	""	""	"a masc"	"7"	"{'kolaṃ': 4, 'kolo': 2, 'kolehi': 1}"
"kosa"	"masc"	""	"√kus 1 (fill, enfold)"	"a masc"	"7"	"{'koso': 3, 'kosā': 2, 'kose': 1, 'kosena': 1}"
"koseyya"	"adj"	""	""	"a adj"	"7"	"{'koseyyaṃ': 7}"
"koseyya"	"nt"	""	""	"a nt"	"7"	"{'koseyyaṃ': 7}"
"kosiyamissaka"	"adj"	""	""	"a adj"	"7"	"{'kosiyamissakaṃ': 7}"
"kukkuṭasampāta"	"adj"	""	""	"a adj"	"7"	"{'kukkuṭasampāte': 7}"
"kumuda"	"card"	""	""	"a2 card"	"7"	"{'kumudaṃ': 3, 'kumudā': 3, 'kumuda': 1}"
"kumuda"	"nt"	""	""	"a nt"	"7"	"{'kumudaṃ': 3, 'kumudā': 3, 'kumuda': 1}"
"kūṭāgārasahassāni"	"nt"	""	""	"a nt pl"	"7"	"{'kūṭāgārasahassāni': 6, 'kūṭāgārasahassānaṃ': 1}"
"lābhanānatta"	"nt"	""	""	"a nt"	"7"	"{'lābhanānattaṃ': 7}"
"lahutara"	"adj"	""	""	"a adj"	"7"	"{'lahutaro': 7}"
"lākhā"	"fem"	""	""	"ā fem"	"7"	"{'lākhāya': 6, 'lākhaṃ': 1}"
"lapi"	"aor"	""	"√lap 1 (speak, chat)"	"i aor"	"7"	"{'lapā': 5, 'lapimhā': 1, 'lapittho': 1}"
"licchavimahāmatta"	"masc"	""	""	"a masc"	"7"	"{'licchavimahāmatto': 5, 'licchavimahāmattaṃ': 2}"
"litta"	"pp"	""	"√lip 2 (coat, smear)"	"a pp"	"7"	"{'littaṃ': 3, 'litte': 2, 'littā': 2}"
"lokantagū"	"masc"	""	""	"ū masc"	"7"	"{'lokantagū': 7}"
"macchika"	"masc"	""	""	"a masc"	"7"	"{'macchikā': 3, 'macchikaṃ': 2, 'macchiko': 2}"
"madda"	"adj"	""	"√madd 1 (crush, grind)"	"a adj"	"7"	"{'maddassa': 3, 'maddā': 2, 'madda': 1, 'maddo': 1}"
"madhuragga"	"adj"	""	""	"a adj"	"7"	"{'madhuraggassa': 4, 'madhuraggaṃ': 3}"
"maggasaṃyutta"	"nt"	""	""	"a nt"	"7"	"{'maggasaṃyuttaṃ': 7}"
"mahākāya"	"adj"	""	""	"a adj"	"7"	"{'mahākāyā': 4, 'mahākāyaṃ': 2, 'mahākāyo': 1}"
"māluvābīja"	"nt"	""	""	"a nt"	"7"	"{'māluvābījaṃ': 5, 'māluvābīje': 2}"
"māluvālatā"	"fem"	""	""	"ā fem"	"7"	"{'māluvālatā': 2, 'māluvālatāhi': 2, 'māluvālataṃ': 2, 'māluvālatāya': 1}"
"mamāyati"	"pr"	""	""	"ati pr"	"7"	"{'mamāyetha': 3, 'mamāyanti': 3, 'mamāyase': 1}"
"manāpiya"	"adj"	""	""	"a adj"	"7"	"{'manāpiyesu': 5, 'manāpiyā': 1, 'manāpiye': 1}"
"manāyatana"	"nt"	""	""	"a nt"	"7"	"{'manāyatanaṃ': 7}"
"maṇḍapa"	"masc"	""	""	"a masc"	"7"	"{'maṇḍape': 5, 'maṇḍapā': 2}"
"maññata"	"nt"	""	"√man 3 (think)"	"a nt"	"7"	"{'maññate': 6, 'maññataṃ': 1}"
"manopadosikā"	"masc"	""	""	"a masc pl"	"7"	"{'manopadosikā': 7}"
"manovitakka"	"masc"	""	""	"a masc"	"7"	"{'manovitakkā': 4, 'manovitakke': 2, 'manovitakko': 1}"
"mantana"	"nt"	""	"√mant 8 (counsel, invite)"	"a nt"	"7"	"{'mantanā': 4, 'mantanaṃ': 3}"
"mantanā"	"fem"	""	"√mant 8 (counsel, invite)"	"ā fem"	"7"	"{'mantanā': 4, 'mantanaṃ': 3}"
"manujinda"	"masc"	""	""	"a masc"	"7"	"{'manujindo': 6, 'manujinda': 1}"
"mariyādā"	"fem"	""	""	"ā fem"	"7"	"{'mariyādaṃ': 7}"
"masāragalla"	"nt"	""	""	"a nt"	"7"	"{'masāragallaṃ': 7}"
"matheti"	"pr"	""	"√math 1 (churn, stir)"	"eti pr"	"7"	"{'mathenti': 7}"
"mātucchā"	"fem"	""	""	"ā fem"	"7"	"{'mātucchā': 7}"
"methunadhamma"	"masc"	""	""	"a masc"	"7"	"{'methunadhammaṃ': 3, 'methunadhammo': 2, 'methunadhammā': 1, 'methunadhammena': 1}"
"milakkhu"	"masc"	""	""	"u masc"	"7"	"{'milakkhūsu': 4, 'milakkhussa': 1, 'milakkhu': 1, 'milakkhū': 1}"
"mucchā"	"fem"	""	"√mucch 1 (thicken, fixate)"	"ā fem"	"7"	"{'mucchaṃ': 6, 'mucchā': 1}"
"mucchati"	"pr"	""	"√mucch 1 (thicken, fixate)"	"ati pr"	"7"	"{'mucchati': 7}"
"mucchi"	"aor"	""	"√mucch 1 (thicken, fixate)"	"i aor"	"7"	"{'mucchaṃ': 6, 'mucchā': 1}"
"mudutūlasannibha"	"adj"	""	""	"a adj"	"7"	"{'mudutūlasannibhā': 7}"
"muṇḍiya"	"masc"	""	"√muṇḍ 1 (be bald, shave)"	"a masc"	"7"	"{'muṇḍiyaṃ': 5, 'muṇḍiyo': 2}"
"muñjapabbajabhūta"	"adj"	""	""	"a adj"	"7"	"{'muñjapabbajabhūtā': 4, 'muñjapabbajabhūto': 3}"
"mutavāditar"	"masc"	""	""	"ar masc"	"7"	"{'mutavāditā': 7}"
"muṭṭhasacca"	"nt"	""	""	"a nt"	"7"	"{'muṭṭhasaccaṃ': 6, 'muṭṭhasacce': 1}"
"muyhati"	"pr"	""	"√muh 3 (be deluded, confused)"	"ati pr"	"7"	"{'muyhati': 4, 'muyhanti': 3}"
"nābbhanumodati"	"pr"	""	"√mud 1 (be soft, happy)"	"ati pr"	"7"	"{'nābbhanumodāmi': 1, 'nābbhanumodeyya': 4, 'nābbhanumodissāmi': 1, 'nābbhanumodati': 1}"
"nābhikkhaṇaṃ"	"ind"	""	"√ikkh 1 (see, mark)"	""	"7"	"{'nābhikkhaṇaṃ': 7}"
"nāccāsanne"	"ind"	""	"√sad 1 (sink, sit, settle)"	""	"7"	"{'nāccāsanne': 7}"
"nacodanāraha"	"adj"	""	""	"a adj"	"7"	"{'nacodanāraho': 7}"
"nādeti"	"pr"	""	"√ādā 3 (take, seize)"	"eti pr"	"7"	"{'nādeti': 7}"
"nādinna"	"adj"	""	"√dā 1 (give)"	"a adj"	"7"	"{'nādinnaṃ': 6, 'nādinne': 1}"
"nādiyati"	"pr"	""	"√ādā 3 (take, seize)"	"ati pr"	"7"	"{'nādiyati': 6, 'nādiyasi': 1}"
"nagaraka"	"nt"	""	""	"a nt"	"7"	"{'nagarakaṃ': 4, 'nagarakamhā': 3}"
"nagarasahassa"	"nt"	""	""	"a nt"	"7"	"{'nagarasahassāni': 5, 'nagarasahassānaṃ': 1, 'nagarasahassa': 1}"
"nagarasahassāni"	"nt"	""	""	"a nt pl"	"7"	"{'nagarasahassāni': 5, 'nagarasahassānaṃ': 1, 'nagarasahassa': 1}"
"nahāyitabba"	"ptp"	""	"√nhā 3 (bathe)"	"a ptp"	"7"	"{'nahāyitabbaṃ': 7}"
"nājjhosa"	"ger"	""	"√sā 1 (complete, accomplish)"	""	"7"	"{'nājjhosa': 7}"
"nāmadheyya"	"adj"	""	""	"a adj"	"7"	"{'nāmadheyyaṃ': 5, 'nāmadheyyā': 1, 'nāmadheyyena': 1}"
"nāmadheyya"	"masc"	""	""	"a masc"	"7"	"{'nāmadheyyaṃ': 5, 'nāmadheyyā': 1, 'nāmadheyyena': 1}"
"nānāgotta"	"adj"	""	""	"a adj"	"7"	"{'nānāgottā': 7}"
"nānākhantika"	"adj"	""	""	"a adj"	"7"	"{'nānākhantikā': 7}"
"nānārucika"	"adj"	""	""	"a adj"	"7"	"{'nānārucikā': 7}"
"nānattasita"	"adj"	""	""	"a adj"	"7"	"{'nānattasitā': 7}"
"naṅgala"	"nt"	""	""	"a nt"	"7"	"{'naṅgalaṃ': 3, 'naṅgalā': 2, 'naṅgalehi': 2}"
"naradeva"	"masc"	""	""	"a masc"	"7"	"{'naradevena': 3, 'naradevānaṃ': 2, 'naradeva': 2}"
"nātidūre"	"ind"	""	"√dū 1 (go, run)"	""	"7"	"{'nātidūre': 7}"
"ñatta"	"nt"	""	"√ñā 5 (know)"	"a nt"	"7"	"{'ñattena': 3, 'ñatte': 3, 'ñattaṃ': 1}"
"nāvutika"	"adj"	""	""	"a adj"	"7"	"{'nāvutikaṃ': 4, 'nāvutiko': 3}"
"nekkhammābhirata"	"adj"	""	""	"a adj"	"7"	"{'nekkhammābhirataṃ': 5, 'nekkhammābhiratena': 2}"
"netti"	"adj"	""	"√nī 1 (lead, carry)"	"i adj"	"7"	"{'netti': 4, 'nettī': 1, 'nettiyaṃ': 1, 'nettiṃ': 1}"
"netti"	"fem"	""	"√nī 1 (lead, carry)"	"i fem"	"7"	"{'netti': 4, 'nettī': 1, 'nettiyaṃ': 1, 'nettiṃ': 1}"
"nevasaññānāsaññāyatanasamāpatti"	"fem"	""	""	"i fem"	"7"	"{'nevasaññānāsaññāyatanasamāpattiyā': 6, 'nevasaññānāsaññāyatanasamāpatti': 1}"
"nibbattitvā"	"abs"	""	"√vatt 1 (be, proceed)"	""	"7"	"{'nibbattitvā': 7}"
"nibbāyi"	"aor"	""	"√vā 1 (blow, emit odour)"	"i aor"	"7"	"{'nibbāyi': 7}"
"nijjīretabba"	"ptp"	""	"√jīr 1 (grow old, decay)"	"a ptp"	"7"	"{'nijjīretabbaṃ': 7}"
"nikata"	"pp"	""	"√kar 7 (do, make)"	"a pp"	"7"	"{'nikato': 7}"
"nikhaṇati"	"pr"	""	"√khaṇ 1 (dig)"	"ati pr"	"7"	"{'nikhaṇissāmi': 4, 'nikhaṇāhi': 2, 'nikhaṇanti': 1}"
"nikkhamitvāna"	"abs"	""	"√kam 1 (go)"	""	"7"	"{'nikkhamitvāna': 7}"
"nikkhipitabba"	"ptp"	""	"√khip 1 (throw)"	"a ptp"	"7"	"{'nikkhipitabbaṃ': 6, 'nikkhipitabbo': 1}"
"nīlī"	"fem"	""	"√nīl 1 (be blue)"	"ī fem"	"7"	"{'nīliyā': 6, 'nīliyaṃ': 1}"
"ninneti"	"pr"	""	"√nī 1 (lead, carry)"	"eti pr"	"7"	"{'ninne': 7}"
"nippapañca"	"adj"	""	"√pañc 8 (expand, spread)"	"a adj"	"7"	"{'nippapañcaṃ': 2, 'nippapañcassa': 2, 'nippapañcena': 1, 'nippapañca': 1, 'nippapañcā': 1}"
"nippapañca"	"masc"	""	"√pañc 8 (expand, spread)"	"a masc"	"7"	"{'nippapañcaṃ': 2, 'nippapañcassa': 2, 'nippapañcena': 1, 'nippapañca': 1, 'nippapañcā': 1}"
"nippapañcarati"	"adj"	""	""	"i adj"	"7"	"{'nippapañcaratino': 7}"
"nirārambha"	"adj"	""	"√rabh 1 (be aroused, violent)"	"a adj"	"7"	"{'nirārambhaṃ': 5, 'nirārambhā': 2}"
"nirattha"	"adj"	""	"√ar 1 (move, attain)"	"a adj"	"7"	"{'niratthaṃ': 4, 'niratthā': 3}"
