Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio	Feedback
maṃsalohita	ps	6	nt	comp						flesh and blood					maṃsa + lohita	māṃsa + lohita					MN 10.8	mahāsatipaṭṭhānasuttaṃ	puna caparaṃ bhikkhu seyyathā’pi passeyya sarīraṃ sivathikāya chaḍḍitaṃ aṭṭhika-saṅkhalikaṃ sa’<b>maṃsalohitaṃ</b> nhāru-sambandhaṃ										SN 12.22	dutiyadasabalasuttaṃ	kāmaṃ taco ca nahāru ca aṭṭhi ca avasissatu, sarīre upasussatu <b>maṃsalohitaṃ</b>	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	28n	maṃsalohit	a nt	13			[sound:maṃsalohita.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=maṃsalohita&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
upasussati	s	6	pr					intrans		dries up; withers; shrivels			√sus 3 ya (to dry, wither)	√sus + ya > sussa	upa + sussa + ti	upaśuṣyati	√śuṣ																SN 12.22	dutiyadasabalasuttaṃ	kāmaṃ taco ca nahāru ca aṭṭhi ca avasissatu, sarīre <b>upasussatu</b> maṃsa-lohitaṃ	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	28n	upasuss	ati pr	13		8	[sound:upasussati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=upasussati&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
avasissati	ss	6	pr		avasesati		pass	intrans		remains; is left over			√sis 8 ya (to remain, distinguish)	√sis + ya > sissa (pass)	ava + sissa + ti	avaśiṣyate	√śiṣ				DN 13.8	tevijjasuttaṃ	“seyyathā’pi balavā saṅkhadhamo appakasiren’eva catuddisā viññāpeyya; evam’eva kho evaṃ bhāvitāya mettāya cetovimuttiyā yaṃ pamāṇakataṃ kammaṃ na taṃ tatr’<b>āvasissati</b>, na taṃ tatr’āvatiṭṭhati.	Brahmavihārā	The Divine Abidings	Reflections							SN 12.22	dutiyadasabalasuttaṃ	kāmaṃ taco ca nahāru ca aṭṭhi ca <b>avasissatu</b>, sarīre upasussatu maṃsa-lohitaṃ	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	28n	avasiss	ati pr	13		11	[sound:avasissati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=avasissati&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
nahāru	s	6	masc		nayhati					tendon; sinew; lit. binding			√nah 3 ya (to bind, to arm)		√nah + āru	snāyu	√ṇah																SN 12.22	dutiyadasabalasuttaṃ	kāmaṃ taco ca <b>nahāru</b> ca aṭṭhi ca avasissatu, sarīre upasussatu maṃsalohitaṃ	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	28n	nahār	u masc	13		13	[sound:nahāru.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=nahāru&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
aparihāna	ps	6	nt		na parihāyati	neg				not deteriorating; not decreasing; non-decline; non-regress			√hā 3 ya (to decrease)		na > a + pari + √hā + na	aparihāṇa	√hā				SN 35.96	parihānadhammasuttaṃ	veditabbam’etaṃ, bhikkhave, bhikkhunā — ‘na parihāyāmi kusalehi dhammehi’. <b>aparihānañ</b>’h’etaṃ vuttaṃ bhagavatā'ti										AN 8.79	parihānasuttaṃ	ime bhikkhave dhammā sekhassa bhikkhuno <b>aparihānāya</b> saṃvattanti.	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	aparihān	a nt	13	9	47	[sound:aparihāna.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=aparihāna&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bhikkhuno 1	ps	6	masc	dat sg	bhikkhu					for monk; to monk			√bhikkh 1 a (to beg)		√bhikkh + u + uno<br/>bhikkhu + uno	bhikṣuṇe	√bhikṣ				AN 10.51	sacittasuttaṃ	evam'evaṃ kho, bhikkhave, <b>bhikkhuno</b> paccavekkhaṇā bahukārā hoti kusalesu dhammesu										AN 8.79	parihānasuttaṃ	ime bhikkhave dhammā sekhassa <b>bhikkhuno</b> aparihānāya saṃvattanti. 	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	27n	bhikkh	u masc	13			[sound:bhikkhuno.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhikkhuno 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
suññāgāragata	s	6	adj	comp						gone to an uninhabited place; gone to an empty dwelling					suññā + agāra + gata	śūnya + agāra+ gata																	MN 118	ānāpānassatisuttaṃ	idha, bhikkhave, bhikkhu araññagato vā rukkhamūlagato vā <b>suññ'āgāragato</b> vā nisīdati, pallaṅkaṃ ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā.	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	suññāgāragat	a adj	13			[sound:suññāgāragata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=suññāgāragata&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
nisīdati	ss	6	pr					intrans	+loc	sits; sits down			√sad 1 a (to sink, sit, settle)	√sad + a > sīda (irreg)	ni + sīda + ti	niṣīdati	√sad				SNP 22	uṭṭhānasuttaṃ<br/>cūḷavaggo 10	uṭṭhahatha <b>nisīdatha</b>, ko attho supitena vo, <br/>āturānañ’hi kā niddā, sallaviddhāna ruppataṃ.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses							MN 118	ānāpānassatisuttaṃ	idha, bhikkhave, bhikkhu araññagato vā rukkhamūla-gato vā suññ'āgāra-gato vā <b>nisīdati</b>, pallaṅkaṃ ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā.	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	nisīd	ati pr	13	3	229	[sound:nisīdati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=nisīdati&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
rukkhamūlagata	s	6	adj	comp						gone to the foot of a tree					rukkha + mūla + gata																		MN 118	ānāpānassatisuttaṃ	idha, bhikkhave, bhikkhu araññagato vā <b>rukkhamūlagato</b> vā suññ'āgāragato vā nisīdati, pallaṅkaṃ ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā.	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	rukkhamūlagat	a adj	13			[sound:rukkhamūlagata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=rukkhamūlagata&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
araññagata 1	s	6	adj	pp, comp	arañña + gacchati					gone to the forest					arañña + gata	araṇyagata																	MN 118	ānāpānassatisuttaṃ	idha, bhikkhave, bhikkhu <b>araññagato</b> vā rukkhamūla-gato vā suññ'āgāra-gato vā nisīdati, pallaṅkaṃ ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā.	Ānāpānassati	Mindfulness of Breathing	Teachings	22n	araññagat	a adj	13			[sound:araññagata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=araññagata 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bhikkhu	ps	6	masc		bhikkhati					monk; an almsman; mendicant; lit. beggar			√bhikkh 1 a (to beg)		√bhikkh + u	bhikṣu	√bhikṣ				DN 22.5	mahāsatipaṭṭhānasuttaṃ	puna caparaṃ <b>bhikkhu</b> imam’eva kāyaṃ uddhaṃ pādatalā, adho kesa-matthakā, taca-pariyantaṃ pūraṃ nāna-ppakārassa asucino paccavekkhati				MN 51	kandarakasuttaṃ	so evaṃ pabbajito samāno <b>bhikkhūnaṃ</b> sikkhāsājīvasamāpanno pāṇ’ātipātaṃ pahāya pāṇ’ātipātā paṭivirato hoti	Anupubba-sikkhā	The Gradual Training	Teachings	MN 118	ānāpānassatisuttaṃ	idha, bhikkhave, <b>bhikkhu</b> araññagato vā rukkhamūlagato vā suññ'āgāragato vā nisīdati, pallaṅkaṃ ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā.	Ānāpānassati	Mindfulness of Breathing	Teachings	18n	bhikkh	u masc	13	6	37331	[sound:bhikkhu.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhikkhu&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
balibadda	ps	6	masc							ox; bull						balivarda		balībadda, balivadda, balibaddha			SN 35.232	koṭṭhikasuttaṃ	“seyyathā’pi, āvuso, kāḷo ca <b>balibaddo</b> odāto ca balībaddo ekena dāmena vā yottena vā saṃyuttā assu.				DHP 152	jarāvaggo	appassut’āyaṃ puriso, <b>balibaddho</b>’va jīrati, <br/>maṃsāni tassa vaḍḍhanti, paññā tassa na vaḍḍhati.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	DN 16.26	mahāparinibbānasuttaṃ	idāni, bhante, deve vassante deve gaḷagaḷāyante vijjullatāsu niccharantīsu asaniyā phalantiyā dve kassakā bhātaro hatā cattāro ca <b>balibaddā</b>				15n	balibadd	a masc	13		14	[sound:balibadda.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=balibadda&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
cattāro	psp	6	card	masc nom & acc pl	catu					four (4)					catu + āro	catūni					AN 10.61	avijjāsuttaṃ	satta’p’āhaṃ bojjh'aṅge sāhāre vadāmi, no anāhāre. ko c’āhāro sattannaṃ bojjh'aṅgānaṃ? ‘<b>cattāro</b> satipaṭṭhānā’ti’ssa vacanīyaṃ.				SN 12.2	vibhaṅgasuttaṃ	<b>cattāro</b> ca mahābhūtā, catunnañ’ca mahābhūtānaṃ upādāya-rūpaṃ – idaṃ vuccati rūpaṃ.	Paṭicca-samuppāda	Dependent Origination	Teachings	DN 16.26	mahāparinibbānasuttaṃ	idāni, bhante, deve vassante deve gaḷagaḷāyante vijjullatāsu niccharantīsu asaniyā phalantiyā dve kassakā bhātaro hatā <b>cattāro</b> ca balibaddā				23n	!	catu	13			[sound:cattāro.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cattāro&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
hata 2	pp	6	pp		hanati				+instr	killed (by)			√han 1 a (to strike, kill)		√han + ta	hata	√han										VIN 1.4.3.9	sāsaṅkasikkhāpadaṃ	sappaṭibhayaṃ nāma ārāme ārām'ūpacāre corehi manussā <b>hatā</b> dissanti, viluttā dissanti, ākoṭitā dissanti.				DN 16.26	mahāparinibbānasuttaṃ	idāni, bhante, deve vassante deve gaḷagaḷāyante vijjullatāsu niccharantīsu asaniyā phalantiyā dve kassakā bhātaro <b>hatā</b> cattāro ca balibaddā					hat	a pp	13			[sound:hata.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hata 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bhātar	ppp	6	masc							brother						bhrātṛ					SN 7.15	mānatthaddhasuttaṃ	mātari pitari c’āpi, atho jeṭṭhamhi <b>bhātari</b>. ācariye catutthamhi, tesu na mānaṃ kayirātha.				DN 22.15	mahāsatipaṭṭhānasuttaṃ	ye vā pan’assa te honti atthakāmā hitakāmā phāsukakāmā yogakkhemakāmā mātā vā pitā vā <b>bhātā</b> vā bhaginī vā mittā vā amaccā vā ñātisālohitā vā				DN 16.26	mahāparinibbānasuttaṃ	idāni, bhante, deve vassante deve gaḷagaḷāyante vijjullatāsu niccharantīsu asaniyā phalantiyā dve kassakā <b>bhātaro</b> hatā cattāro ca balibaddā					bhāt	ar2 masc	13	6	116	[sound:bhātar.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhātar&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
dve 1	psp	6	card	x pl						two (2)						dvi					MN 4	bhayabheravasuttaṃ	so aneka-vihitaṃ pubbe-nivāsaṃ anussarāmi, seyyath’idaṃ — ekam’pi jātiṃ <b>dve</b>’pi jātiyo tisso’pi jātiyo catasso’pi jātiyo pañca’pi jātiyo dasa’pi jātiyo vīsam’pi jātiyo tiṃsam’pi jātiyo 				VIBH 6.1	suttantabhājanīyaṃ	tattha katamo upādāna-paccayā bhavo? bhavo <b>du’</b>vidhena — atthi kamma-bhavo, atthi upapatti-bhavo.	Paṭicca-samuppāda	Dependent Origination	Teachings	DN 16.26	mahāparinibbānasuttaṃ	idāni, bhante, deve vassante deve gaḷagaḷāyante vijjullatāsu niccharantīsu asaniyā phalantiyā <b>dve</b> kassakā bhātaro hatā cattāro ca balibaddā				23n	*	dvi card	13			[sound:dve.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dve 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bhagavant 1	pss	6	masc		bhaga					the Sublime One; the Blessed One; the Fortunate One; the Buddha			√bhaj 1 a (to divide, distribute)		√bhaj > bhag + a + vant	bhagavat	√bhaj				MN 18	madhupiṇḍikasuttaṃ	evaṃ-sampadam’idaṃ āyasmantānaṃ satthari sammukhībhūte, taṃ <b>bhagavantaṃ</b> atisitvā, amhe etam’atthaṃ paṭipucchitabbaṃ maññatha.				SN 11.3	dhajaggasuttaṃ	arahaṃ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho <b>bhagavā</b>	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	AN 8.53	saṃkhittasuttaṃ	ekam’antaṃ ṭhitā kho sā mahāpajāpatī gotamī <b>bhagavantaṃ</b> etadavoca	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	24n	bhagav	ant masc	13	6	13582	[sound:bhagavant.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhagavant 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
etad	psp	6	pron	nt nom & acc sg	eta					this					eta + aṃ > ad	etad				archaic form of etaṃ found in compounds and idiom<br/>Kacc 34, 52 (ṃ > d)	AN 10.29	paṭhamakosalasuttaṃ	<b>etad'</b>aggaṃ parama-diṭṭhadhamma-nibbānaṃ paññapentānaṃ yad'idaṃ channaṃ phass’āyatanānaṃ samudayañ’ca atthaṅ’gamañ’ca assādañ’ca				AN 8.53	saṃkhittasuttaṃ	ekam’antaṃ ṭhitā kho sā mahāpajāpatī gotamī bhagavantaṃ <b>etad'</b>avoca	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	SN 1.1	oghataraṇasuttaṃ	ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ <b>etad</b>'avoca — ‘kathaṃ nu tvaṃ, mārisa, ogham'atarī’ti?				24n	!e	ta pron	13			[sound:etad.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=etad&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
etadavoca	ssp	6	aor	comp vb						one said this					etaṃ > etad + avoca	etad + avak					AN 8.53	saṃkhittasuttaṃ	ekam’antaṃ ṭhitā kho sā mahāpajāpatī gotamī bhagavantaṃ <b>etad'avoca</b>	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	SN 22.59	anattalakkhaṇasuttaṃ	tatra kho bhagavā pañcavaggiye bhikkhū āmantesi — “bhikkhavo”ti. “bhadante”ti te bhikkhū bhagavato paccassosuṃ. bhagavā <b>etad'avoca</b>.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	SN 1.1	oghataraṇasuttaṃ	ekam'antaṃ ṭhitā kho sā devatā bhagavantaṃ <b>etad'avoca</b> — ‘kathaṃ nu tvaṃ, mārisa, ogham'atarī’ti?				24n	etad	avoca aor	13			[sound:etadavoca.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=etadavoca&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
devatā	psp	6	fem		deva					deity			√div 3 ya (to shine)		√div > dev + *a + tā	devatā	√div				AN 11.15	mettāsuttaṃ	sukhaṃ supati, sukhaṃ paṭibujjhati, na pāpakaṃ supinaṃ passati, manussānaṃ ca amanussānaṃ piyo hoti, <b>devatā</b> rakkhanti				SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	atha kho aññatarā <b>devatā</b> abhikkantāya rattiyā abhikkanta-vaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten’upasaṅkami	Maṅgala-sutta	The Highest Blessings	Protective Recitations	SN 1.1	oghataraṇasuttaṃ	ekam'antaṃ ṭhitā kho sā <b>devatā</b> bhagavantaṃ etad'avoca — ‘kathaṃ nu tvaṃ, mārisa, ogham'atarī’ti?				51n	devat	ā fem	13	7	643	[sound:devatā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=devatā&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
tvaṃ	ps	6	pron							you						tvaṃ, tuaṃ					SNP 46	pasūrasuttaṃ<br/>aṭṭhakavaggo 8	viseni’katvā pana ye caranti, diṭṭhīhi diṭṭhiṃ avirujjhamānā, <br/>tesu <b>tvaṃ</b> kiṃ labhetho pasūra, yes’īdha n’atthī param’uggahītaṃ.										MN 107	gaṇakamoggallānasuttaṃ	ehi<b> tvaṃ</b>, bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū’ti	Anupubba-sikkhā	The Gradual Training	Teachings	18n	!*	tvaṃ pron	13	5	2394	[sound:tvaṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=tvaṃ&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
mattaññū	ps	6	adj	comp						knowing the measure or limit; moderate					matta + ññū	mātrā + jñā					DHP 008	yamakavaggo	asubh'ānupassiṃ viharantaṃ, indriyesu susaṃvutaṃ,<br/>bhojanamhi ca <b>mattaññuṃ</b>, saddhaṃ āraddhavīriyaṃ,<br/>taṃ ve nappasahati māro, vāto selaṃ'va pabbataṃ.										MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ bhikkhu bhojane <b>mattaññū</b> hohi. paṭisankhā yoniso āhāraṃ āhāreyyāsi	Anupubba-sikkhā	The Gradual Training	Teachings	18n	mattaññ	ū adj	13	6	62	[sound:mattaññū.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mattaññū&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bhojana 2	ss	6	nt	act	bhuñjati					eating; taking food			√bhuj 2 ṃa (to eat, enjoy)		√bhuj > bhoj + *ana		√bhuj				MN 51	kandarakasuttaṃ	so bījagāma-bhūtagāma-samārambhā paṭivirato hoti, ekabhattiko hoti ratt’ūparato virato vikāla-<b>bhojanā</b>	Anupubba-sikkhā	The Gradual Training	Teachings							MN 107	gaṇakamoggallānasuttaṃ	ehi tvaṃ bhikkhu <b>bhojane</b> mattaññū hohi. paṭisankhā yoniso āhāraṃ āhāreyyāsi	Anupubba-sikkhā	The Gradual Training	Teachings	18n	bhojan	a nt	13	9	392	[sound:bhojana.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhojana 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
parimuccati	ps	6	pr		parimuñcati		pass	intrans	+abl	is completely freed; is totally liberated			√muc 2 ya (to release, free)	√muc + ya > mucca (pass)	pari + mucca + ti	parimucyate	√muc										Sri Lanka		addhā imāya paṭipadāya jāti-jarā-byādhi-maraṇamhā <b>parimuccissāmi</b>	Paramāya pūjāyañca paṇidhiñca	The Highest Honour and Aspirations	Sharing of Merits	MN 2.2	sabbāsavasuttaṃ	diṭṭhi-saṃyojana-saṃyutto, bhikkhave, assutavā puthujjano na <b>parimuccati</b> jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi				72n	parimucc	ati pr	13	13	151	[sound:parimuccati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=parimuccati&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
assutavant	p	6	adj		na suta	neg				unlearned; untaught; uninitiated; untrained; lit. one who has not heard			√su 4 ṇā (to hear)		na + √su + ta + vant	aśrutavat	√śru																MN 2.2	sabbāsavasuttaṃ	diṭṭhi-saṃyojana-saṃyutto, bhikkhave, <b>assutavā</b> puthujjano na parimuccati jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi					assutav	ant adj	13	6	149	[sound:assutavant.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=assutavant&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
adhigacchati	ps	6	pr					trans	+acc	gets to; attains; finds; acquires; obtains; lit. goes up to			√gam 1 a (to go)	√gam + a > gaccha	adhi + gaccha + ti	adhigam	√gam				MN 129	bālapaṇḍitasuttaṃ	appamattako so, bhikkhave, kaṭaggaho yaṃ so akkhadhutto paṭhamen’eva kaṭaggahena mahantaṃ bhogakkhandhaṃ <b>adhigaccheyya</b>. 										AN 5.37	bhojanasuttaṃ	āyudo balado dhīro, vaṇṇado paṭibhānado. sukhassa dātā medhāvī, sukhaṃ so <b>adhigacchati</b>. āyuṃ datvā balaṃ vaṇṇaṃ, sukhañ’ca paṭibhānakaṃ, dīgh’āyu yasavā hoti, yattha yatth’ūpapajjatī’ti.	Bhojana-dānānumodanā		Thanksgiving Recitations	42n	adhigacch	ati pr	13	3	105	[sound:adhigacchati.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=adhigacchati&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
