ID	Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Phonetic Changes	Derivative	Suffix	Compound	Compound Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Notes SBS	Notes RU	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Source4	Sutta4	Example4	Pali chant 4	English chant 4	Chapter 4	Index	Stem	Pattern	Test	class	count	audio	DPD	Pāli-old	eng-old	move	sync	no. for class filter	Feedback
1464	accayena 2	s	5	ind	adv, instr sg	accaya				+gen	after the death (of); after the passing (of); lit. with the passing			√i 1 a (to come, go)		ati > aty > acc + √i > ay + *a + ena<br/>accaya + ena	ti > ty > cc<br/>i > ay					atyāsam	√i																		DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, mayā dhammo ca vinayo ca desito paññatto, so vo mam'<b>accayena</b> satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings							29n	-		15	13	242	[sound:accayena.mp3]	√	accayena 2	after the death (of); after the passing away; lit. with going beyond	moved		82	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=accayena 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
32788	mamaccayena	s	5	sandhi	pron + masc						after my passing away; after my death; when I am gone					mama + accaya + ena<br/>mamaccaya + ena																									DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, mayā dhammo ca vinayo ca desito paññatto, so vo <b>mam'accayena</b> satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings							29n	-		15			[sound:mamaccayena.mp3]		mamaccayena	after my passing away; after my death				"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mamaccayena&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
32783	mama 2	ps	5	pron	1st gen sg	ahaṃ					my; mine; of me													mayhaṃ, me, mamaṃ					SN 22.79	khajjanīyasuttaṃ	tasmā't'iha sabbaṃ rūpaṃ  n'etaṃ <b>mama</b>, n'eso'ham'asmi, na m'eso attā'ti evam'etaṃ yathābhūtaṃ sammappaññāya daṭṭhabbaṃ										DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, mayā dhammo ca vinayo ca desito paññatto, so vo <b>mam'</b>accayena satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings							29n	!*	ahaṃ pron	15	5	921	[sound:mama.mp3]	√√	mama 2	my; mine			1686	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mama 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
18473	desita 1	ss	5	pp		deseti		caus			preached (by); taught (by); explained (by); instructed (by)			√dis 1 *e (to point out, explain)	√dis + *e > dese (caus)	dese + ita	i > e	kita	ita			deśita	√diś		(THIa) <b>desitā</b> paññattā.																DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, mayā dhammo ca vinayo ca <b>desito</b> paññatto, so vo mam'accayena satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings	DN 16.21	mahāparinibbānasuttaṃ	bhikkhave, ye te mayā dhammā abhiññā <b>desitā</b>, te vo sādhukaṃ uggahetvā āsevitabbā bhāvetabbā bahulīkātabbā	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	29n	desit	a pp	15	11	341	[sound:desita.mp3]	√√	desita 1	preached; taught; explained; instructed; lit. pointed out	moved		975	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=desita 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
33743	mayā 1	pss	5	pron	instr sg	ahaṃ					by me; with me											mayā		me					TH 179	sāṭimattiyattheragāthā	aniccā hi calā saddhā, evaṃ diṭṭhā hi sā <b>mayā</b>.<br/>rajjanti'pi virajjanti, tattha kiṃ jiyyate muni.				SN 12.22	dutiyadasabalasuttaṃ	evaṃ svākkhāto, bhikkhave, <b>mayā</b> dhammo uttāno vivaṭo pakāsito chinnapilotiko.	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	DN 16.36	mahāparinibbānasuttaṃ	yo vo, ānanda, <b>mayā</b> dhammo ca vinayo ca desito paññatto, so vo mam'accayena satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings							28n	!*	ahaṃ pron	15	5	961	[sound:mayā.mp3]	√√	mayā 1	by me; with me			1746	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mayā 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
28869	khaṇati	pp	5	pr					trans	+acc	digs; digs up; uproots			√khaṇ 1 a (to dig)	√khaṇ + a > khaṇa	khaṇa + ti						khanati	√khan						DHP 247	malavaggo	surāmerayapānañ'ca, yo naro anuyuñjati.<br/>idh'evam'eso lokasmiṃ, mūlaṃ <b>khaṇati</b> attano.										VIN PAT PC 10	pathavīkhaṇana sikkhāpada	yo pana bhikkhu paṭhaviṃ <b>khaṇeyya</b> vā khaṇāpeyya vā, pācittiyaṃ.											khaṇ	ati pr	15		34	[sound:khaṇati.mp3]	√√	khaṇati	digs; uproots; destroys			1513	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=khaṇati&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
44490	paṭhavī	s	5	fem		√path					earth; world			√path 1 a (to expand)		√path > paṭh + avī	th > ṭh	kita	avī			pṛthivī	√prath√pṛth	pathavī																	VIN PAT PC 10	pathavīkhaṇana sikkhāpada	yo pana bhikkhu <b>paṭhaviṃ</b> khaṇeyya vā khaṇāpeyya vā, pācittiyaṃ.				DHP 041	cittavaggo	aciraṃ vat'ayaṃ kāyo, <b>paṭhaviṃ</b> adhisessati.<br/>chuḍḍho apetaviññāṇo, niratthaṃ'va kaliṅgaraṃ.	Anicc’ānussati	Recollection of Impermanence	Reflections	36n	paṭhav	ī fem	15		11	[sound:paṭhavī.mp3]		paṭhavī	earth; ground				"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=paṭhavī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68966	vo 1.3	ss	5	pron	2nd dat pl	tvaṃ					to you all; for you all											yuṣmabhyam, vaḥ		tumhaṃ, tumhākaṃ											MN 19	dvedhāvitakkasuttaṃ	etāni, bhikkhave, rukkhamūlāni, etāni suññ'āgārāni. jhāyatha, bhikkhave, mā pamād'attha, mā pacchā vippaṭisārino ahuvattha. ayaṃ <b>vo</b> amhākaṃ anusāsanī'ti.	Pakiṇṇaka-gāthā	Miscellaneous Verses	Verses	DN 16.36	mahāparinibbānasuttaṃ	yo <b>vo</b>, ānanda, mayā dhammo ca vinayo ca desito paññatto, so <b>vo</b> mam'accayena satthā.	Buddha-pacchima-ovāda	The Buddha’s Final Instruction	Teachings							15n	!*	tvaṃ pron	15	5	1065	[sound:vo.mp3]	√√	vo 3	to you all; for you all			3404	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vo 1.3&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
32297	mahapphala	sss	5	adj	comp						of great fruit; yielding good results					mahā + phala				kammadhāraya	mahanta + phala	maha + phala							SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	ye puggalā aṭṭha sataṃ pasatthā, cattāri etāni yugāni honti. <br/>te dakkhiṇeyyā sugatassa sāvakā, etesu dinnāni <b>mahapphalāni</b>.	Ratana-sutta		Protective Recitations	MN 118	ānāpānassatisuttaṃ	ānāpānassati bhikkhave bhāvitā bahulīkatā <b>mahapphalā</b> hoti mah'ānisaṃsā	Ānāpānassati	Mindfulness of Breathing	Teachings	SN 12.22	dutiyadasabalasuttaṃ	yesaṃ mayaṃ paribhuñjāma cīvarapiṇḍapātasen'āsanagilānappaccayabhesajjaparikkhāraṃ tesaṃ te kārā amhesu <b>mahapphalā</b> bhavissanti mah'ānisaṃsā'ti	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings							52n	mahapphal	a adj	15			[sound:mahapphala.mp3]	√√	mahapphala	of great fruit; yielding good results			1664	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mahapphala&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
4792	amhesu	ps	5	pron	1st loc pl	ahaṃ					in us; among us					amha + esu						asmāsu													SN 20.12	dutiyasiṅgālasuttaṃ	tasmā't'iha, bhikkhave, evaṃ sikkhitabbaṃ, kataññuno bhavissāma katavedino, na ca no <b>amhesu</b> appakam'pi kataṃ nassissatī'ti. evañ'hi vo, bhikkhave, sikkhitabban'ti.				SN 12.22	dutiyadasabalasuttaṃ	yesaṃ mayaṃ paribhuñjāma cīvarapiṇḍapātasen'āsanagilānappaccayabhesajjaparikkhāraṃ tesaṃ te kārā <b>amhesu</b> mahapphalā bhavissanti mah'ānisaṃsā'ti	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings							28n	!*	ahaṃ pron	15		12	[sound:amhesu.mp3]	√√	amhesu	in us; among us	moved	22	254	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=amhesu&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
27616	kāra 1	ss	5	masc		karoti					deed; action; service			√kar 7 o (to do, make)		√kar > kār + *a	a > ā	kita	*a			kāra	√kṛ																		SN 12.22	dutiyadasabalasuttaṃ	yesaṃ mayaṃ paribhuñjāma cīvarapiṇḍapātasen'āsanagilānappaccayabhesajjaparikkhāraṃ tesaṃ te <b>kārā</b> amhesu mahapphalā bhavissanti mah'ānisaṃsā'ti	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	SN 46.3	sīlasuttaṃ	dassanam'p'āhaṃ, bhikkhave, tesaṃ bhikkhūnaṃ bahu<b>kāraṃ</b> vadāmi	Satta-sambojjhaṅgā	The Seven Factors of Awakening	Teachings	20n	kār	a masc	15		28	[sound:kāra.mp3]	√	kāra 1	deed; action; service			1440	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=kāra 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
65160	vasa 1.2	ss	5	masc		√vas				+gen	control (over); authority (over); power (over); mastery (over)			√vas 1 a (to want, control)		√vas + a		kita	a			vaśa	√vaś		(SNa) <b>vaso</b>'ti āṇāpavattanaṃ.				TH 257	pārāpariyattheragāthā	nīcā niviṭṭhā subharā, mudū atthaddhamānasā.<br/>abyāsekā amukharā, atthacintā <b>vas'</b>ānugā.	Pārāpariya-thera-gāthā	From the Elder Pārāpariya	Verses							AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū uppannāya taṇhāya ponobhavikāya na <b>vasaṃ</b> gacchissanti, vuddhi'y'eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	vas	a masc	15	2	292	[sound:vasa.mp3]	√√	vasa 2	control; authority; power; mastery			3227	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vasa 1.2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
65182	vasaṃ gacchati	ps	5	pr	comp vb					+gen	follows the lead (of); submits to the control (of); falls under the power (of); lit. goes by the wish					vasaṃ + gacchati													SN 35.247	chappāṇakopamasuttaṃ	yadā kho te, bhikkhave, chappāṇakā jhattā assu kilantā, atha kho yo nesaṃ pāṇakānaṃ balavataro assa tassa te anuvatteyyuṃ, anuvidhāyeyyuṃ <b>vasaṃ</b> <b>gaccheyyuṃ</b>.										AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū uppannāya taṇhāya ponobhavikāya na <b>vasaṃ</b> <b>gacchissanti</b>, vuddhi'y'eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	!	vasaṃ gacchati	15			[sound:vasaṃ gacchati.mp3]	√√	vasaṃ gacchati	follows the lead (of); submits to the control (of); falls under the power (of); lit. goes by the wish (of)			3230	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vasaṃ gacchati&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
39223	ottappī	ps	5	adj		otappati					afraid of wrong; conscientious			√tapp 1 a (to regret)		ud > od + √tapp + *ī	u > o<br/>d > t	kita	*ī			anutāpin	√trap						AN 7.67	nagaropamasuttaṃ	seyyathā'pi rañño paccantime nagare anupariyāyapatho hoti ucco c'eva vitthato ca, evam'evaṃ kho, ariyasāvako <b>ottappī</b> hoti, ottappati kāyaduccaritena vacīduccaritena manoduccaritena										AN 7.25	tatiyasattakasuttaṃ	yāvakīvañ'ca bhikkhave bhikkhū <b>ottappino</b> bhavissanti	Aparihāniya-dhammā	Principles of Non-Decline	Teachings							27n	ottapp	ī adj	15	5	120	[sound:ottappī.mp3]	√√	ottappī	afraid of wrong; feeling shame; conscientious			1972	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=ottappī&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
38356	no 2.1	ps	5	pron	1st acc pl	ahaṃ					us (object)											asmān, naḥ		amhe, amhākaṃ											Thai		taṃ <b>no</b> brahmacariyaṃ imassa kevalassa dukkhakkhandhassa antakiriyāya saṃvattatu	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem	AN 6.61	majjhesuttaṃ	yathā <b>no</b> bhagavā byākarissati tathā naṃ dhāressāmā'ti.										05n	!*	ahaṃ pron	15	5	4209	[sound:no.mp3]	√√	no 4	us (object)			1936	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=no 2.1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
31732	mā ahosi	s	5	idiom	ind+ aor						let it not be; may it not exist																														SN 22.59	anattalakkhaṇasuttaṃ	yasmā ca kho, bhikkhave, rūpaṃ anattā, tasmā rūpaṃ ābādhāya saṃvattati, na ca labbhati rūpe, evaṃ me rūpaṃ hotu, evaṃ me rūpaṃ <b>mā ahosī</b>'ti.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas							38n	!	mā ahosi	15			[sound:mā ahosi.mp3]	√	mā ahosi	let it not be; may it not exist			1641	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mā ahosi&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
48943	rūpa 1	ps	5	nt		√rūp					matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates; lit. form			√rūp 8 *e (to form, produce)		√rūp + a		kita	a			rūpa	√rūp						SN 22.79	khajjanīyasuttaṃ	atītam'p'āhaṃ addhānaṃ evam'eva <b>rūpena</b> khajjiṃ, seyyathā'pi eta'r'ahi paccuppannena <b>rūpena</b> khajjāmi.				DN 22.15	mahāsatipaṭṭhānasuttaṃ	seyyath'īdaṃ<b> rūp</b>'ūpādānakkhandho vedan'ūpādānakkhandho saññ'ūpādānakkhandho saṅkhār'ūpādānakkhandho viññāṇ'ūpādānakkhandho	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem	SN 22.59	anattalakkhaṇasuttaṃ	yasmā ca kho, bhikkhave, rūpaṃ anattā, tasmā rūpaṃ ābādhāya saṃvattati, na ca labbhati rūpe, evaṃ me <b>rūpaṃ</b> hotu, evaṃ me <b>rūpaṃ</b> mā ahosī''ti.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas							05n	rūp	a nt	15	9	2001	[sound:rūpa.mp3]	√√	rūpa 1	matter; material thing; materiality; experience of material world; physical objects of consciousness; first of the five aggregates			2438	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=rūpa 1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
57201	sukha 2	pss	5	nt		√sukh					ease; comfort; happiness; pleasure; contentment			√sukh 1 a (to please, be comfortable)		√sukh + a		kita	a			sukha	√sukh		(MNa) sātalakkhaṇaṃ <b>sukhaṃ</b><br/>(ANa) <b>sukhan</b>'ti kāyikacetasikasukhaṃ.	see SCPN §10 (Eastern Forms)			SN 22.22	bhārasuttaṃ	bhārā have pañcakkhandhā, bhārahāro ca puggalo. bhār'ādānaṃ dukhaṃ loke, bhāranikkhepanaṃ <b>sukhaṃ</b>.	Bhārā	The Burdens	Verses	DN 22.18	mahāsatipaṭṭhānasuttaṃ	pītiyā ca virāgā upekkhako ca viharati, sato ca sampajāno, <b>sukhañ</b>'ca kāyena paṭisaṃvedeti, yaṃ taṃ ariyā ācikkhanti, upekkhako satimā sukhavihārī'ti tatiyaṃ jhānaṃ upasampajja viharati.	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, taṃ pajahatha. taṃ vo pahīnaṃ hitāya <b>sukhāya</b> bhavissati.										21n	sukh	a nt	15	9	2125	[sound:sukha.mp3]	√√	sukha 2	ease; comfort; happiness; pleasure			2855	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sukha 2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
24420	hita 3	psp	5	nt		dahati					welfare (of); good (of); benefit (of); blessing			√dhā 1 a (to place, support)		√dhā > (da)h + ita	dhā > h	kita	ita			hita	√dhā						AN 3.66	kesamuttisuttaṃ	yadā tumhe attanā'va jāneyyātha, ime dhammā kusalā, ime dhammā anavajjā, ime dhammā viññuppasatthā, ime dhammā samattā samādinnā <b>hitāya</b> sukhāya saṃvattantī'ti, atha tumhe upasampajja vihareyyātha.				MN 107	gaṇakamoggallānasuttaṃ	byāpādapadosaṃ pahāya abyāpannacitto viharati sabbapāṇabhūta<b>hit'</b>ānukampī<b>, </b>byāpādapadosā cittaṃ parisodheti	Anupubba-sikkhā	The Gradual Training	Teachings	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, taṃ pajahatha. taṃ vo pahīnaṃ <b>hitāya</b> sukhāya bhavissati.										18n	hit	a nt	15	9	394	[sound:hita.mp3]	√√	hita 3	welfare; good; benefit; blessing			1276	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hita 3&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
40424	pahīna	psp	5	pp		pajahati					abandoned; dispelled; eliminated; removed; given up			√hā 1 a (to abandon)		pa + √hā > hī + na	ā > ī (Kacc 502, 493)	kita	na			prajahita	√hā						MN 10.11	mahāsatipaṭṭhānasuttaṃ	yathā ca uppannassa uddhaccakukkuccassa pahānaṃ hoti tañ'ca pajānāti, yathā ca <b>pahīnassa</b> uddhaccakukkuccassa āyatiṃ anuppādo hoti tañ'ca pajānāti.				MN 39	mahāassapurasuttaṃ	āṇaṇyaṃ yathā ārogyaṃ yathā bandhanāmokkhaṃ yathā bhujissaṃ yathā khem'antabhūmiṃ, evam'eva bhikkhu ime pañca nīvaraṇe <b>pahīne</b> attani samanupassati	Anupubba-sikkhā	The Gradual Training	Teachings	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, taṃ pajahatha. taṃ vo <b>pahīnaṃ</b> hitāya sukhāya bhavissati.										18n	pahīn	a pp	15	11	685	[sound:pahīna.mp3]	√√	pahīna	abandoned; dispelled; eliminated; removed; given up			2033	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=pahīna&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
68965	vo 1.2	ssp	5	pron	2nd instr pl	tvaṃ					by you all; with you all											yuṣmābhiḥ		tumhehi					DN 16.21	mahāparinibbānasuttaṃ	bhikkhave, ye te mayā dhammā abhiññā desitā, te <b>vo</b> sādhukaṃ uggahetvā āsevitabbā bhāvetabbā bahulīkātabbā	Bodhipakkhiya-dhammā	Requisites for Awakening	Teachings	SN 12.22	dutiyadasabalasuttaṃ	evaṃ hi <b>vo</b> bhikkhave sikkhitabbaṃ. att'atthaṃ vā hi bhikkhave sampassamānena alam'eva appamādena sampādetuṃ	Dhamma-pahaṃsāna	Striving According to the Dhamma	Teachings	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, taṃ pajahatha. taṃ <b>vo</b> pahīnaṃ hitāya sukhāya bhavissati.										28n	!*	tvaṃ pron	15	5	1065	[sound:vo.mp3]	√√	vo 2	by you all; with you all			3403	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vo 1.2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
58531	taṃ 1.1	pp	5	pron	nt nom sg	ta					it; that					ta + aṃ						tam		naṃ, tad											SN 3.20	dutiyāputtakasuttaṃ	<b>tañ</b>'hi tassa sakaṃ hoti,<br/><b>tañ</b>'ca ādāya gacchati,<br/><b>tañ</b>'c'assa anugaṃ hoti,<br/>chāyā'va anapāyinī.				SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, taṃ pajahatha. <b>taṃ</b> vo pahīnaṃ hitāya sukhāya bhavissati.											!*	ta pron	15			[sound:taṃ.mp3]	√√	taṃ 1	it; that		22	2909	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=taṃ 1.1&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
58532	taṃ 1.2	psp	5	pron	masc fem & nt acc sg	ta					him; her; one; that person; that thing					ta + aṃ						tam		naṃ					MN 18	madhupiṇḍikasuttaṃ	yathā ca pana kāmehi visaṃyuttaṃ viharantaṃ <b>taṃ</b> brāhmaṇaṃ akathaṃkathiṃ chinnakukkuccaṃ bhav'ābhave vītataṇhaṃ saññā n'ānusenti				Thai		<b>tam</b>'mayaṃ bhagavantaṃ sadhammaṃ sasaṅghaṃ, imehi sakkārehi yath'ārahaṃ āropitehi abhipūjayāma	Buddh'ādi-āmisa-pūjā	Dedication of Offerings	Homage to the Triple Gem	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na tumhākaṃ, <b>taṃ</b> pajahatha. taṃ vo pahīnaṃ hitāya sukhāya bhavissati.										01n	!*	ta pron	15			[sound:taṃ.mp3]	√√	taṃ 2	him; her; one; that person; that thing (object)			2910	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=taṃ 1.2&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
60702	tumhākaṃ 3	p	5	pron	2nd gen pl	tvaṃ					of you all; yours					tumha + ākaṃ						yuṣmākam, vaḥ		tumhaṃ, vo																	SN 22.33	natumhākaṃsuttaṃ	yaṃ, bhikkhave, na <b>tumhākaṃ</b>, taṃ pajahatha. taṃ vo pahīnaṃ hitāya sukhāya bhavissati.											!*	tvaṃ pron	15	5	180	[sound:tumhākaṃ.mp3]	√	tumhākaṃ 3	of you all; yours			3051	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=tumhākaṃ 3&entry.644913945=Anki Deck Vocab Pāli Course"">Fix it here</a>."
