Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio	Feedback
acchādeti 1	pp	6	pr					trans	+acc	dresses; clothes; give clothes (to)			√chad 8 *e (to cover, conceal)	√chad + *e > chāde	ā + chāde + ti	ācchādayati	√chad		(VIN 1.4.8) acchādessāmī'ti dassāmi.		VIN PAT NP 8	paṭhamaupakkhaṭa sikkhāpada	“iminā cīvaracetāpannena cīvaraṃ cetāpetvā itthan’nāmaṃ bhikkhuṃ cīvarena <b>acchādessāmī</b>”ti										VIN PAT NP 10	rāja sikkhāpada	‘yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ <b>acchādessatī’</b>ti. 					acchād	eti pr	83		15	[sound:acchādeti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=acchādeti 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
taṃ 3	ppp	6	pron	2nd acc sg	tvaṃ					you (object)						tvam					TH 206	vijitasenattheragāthā	satiyā <b>taṃ</b> nibandhissaṃ, payutto te damessāmi, <br/>vīriya-dhura-niggahito, na’y’ito dūraṃ gamissase cittā’ti.				SN 22.85	yamakasuttaṃ	so taṃ gahapatiṃ vā gahapatiputtaṃ vā upasaṅkamitvā evaṃ vadeyya — ‘upaṭṭhaheyyaṃ <b>taṃ</b>, bhante’ti.				VIN PAT NP 10	rāja sikkhāpada	‘yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena <b>taṃ</b> acchādessatī’ti. 					!*	tvaṃ pron	83	5	10582	[sound:taṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=taṃ 3&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
kālena	psp	6	ind	adv, instr sg	kāla					at the right moment; at a suitable time; at the proper time			√kal 8 *e (to spend time)		√kal + *a + ena	kālena	√kal				AN 5.198	vācāsuttaṃ	<b>kālena</b> ca bhāsitā hoti, saccā ca bhāsitā hoti, saṇhā ca bhāsitā hoti, atthasaṃhitā ca bhāsitā hoti, mettacittena ca bhāsitā hoti.				SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	gāravo ca nivāto ca, santuṭṭhi ca kataññutā.<br/><b>kālena</b> dhamma-ssavanaṃ, etaṃ maṅgalam’uttamaṃ. 	Maṅgala-sutta	The Highest Blessings	Protective Recitations	VIN PAT NP 10	rāja sikkhāpada	‘yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamat'āyasmā <b>kālena</b>, cīvarena taṃ acchādessatī’ti. 				51n	-		83	6	316	[sound:kālena.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=kālena&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
niddisi 1	p	6	aor		niddisati			trans	+acc	indicated; pointed out; designated; appointed			√dis 1 a (to point out, explain)		nī + √dis + i	niradikṣat	√diś																VIN PAT NP 10	rāja sikkhāpada	‘yaṃ kho, bhante, āyasmā veyyāvaccakaraṃ <b>niddisi</b>, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ acchādessatī’ti. 					niddis	i aor	83		5	[sound:niddisi.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=niddisi 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
veyyāvaccakara	pp	6	masc	comp						steward; helper; lit. service making					veyyāvacca + kara	vaiyāvṛtyakara			(VINa) veyyāvaccakaro'ti kiccakaro, kappiyakārako'ti attho.		VIN PAT NP 10	rāja sikkhāpada	cīvar’atthikena, bhikkhave, bhikkhunā <b>veyyāvaccakaro</b> niddisitabbo, ārāmiko vā upāsako vā										VIN PAT NP 10	rāja sikkhāpada	‘yaṃ kho, bhante, āyasmā <b>veyyāvaccakaraṃ</b> niddisi, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ acchādessatī’ti. 					veyyāvaccakar	a masc	83			[sound:veyyāvaccakara.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=veyyāvaccakara&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
kho	ssp	6	ind	emph						indeed; surely; certainly; truly						khalu					DN 22.18	mahāsatipaṭṭhānasuttaṃ	yaṃ <b>kho</b> bhikkhave dukkhe ñāṇaṃ, dukkha-samudaye ñāṇaṃ, dukkha-nirodhe ñāṇaṃ, dukkha-nirodha-gāminiyā paṭipadāya ñāṇaṃ, ayaṃ vuccati bhikkhave sammādiṭṭhi.   	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	SNP 16	maṅgalasuttaṃ<br/>cūḷavaggo 4	atha <b>kho</b> aññatarā devatā abhikkantāya rattiyā abhikkanta-vaṇṇā kevalakappaṃ jetavanaṃ obhāsetvā yena bhagavā ten’upasaṅkami	Maṅgala-sutta	The Highest Blessings	Protective Recitations	VIN PAT NP 10	rāja sikkhāpada	‘yaṃ <b>kho</b>, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ acchādessatī’ti. 				51n	-		83	13	26308	[sound:kho.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=kho&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
kalyāṇa 1	ss	6	adj							good; favourable; propitious; beneficial; lovely						kalyāṇa					MN 27	cūḷahatthipadopamasuttaṃ	so dhammaṃ deseti ādi-<b>kalyāṇaṃ</b> majjhe-<b>kalyāṇaṃ</b> pariyosāna-<b>kalyāṇaṃ</b> sātthaṃ sabyañjanaṃ, kevalaparipuṇṇaṃ parisuddhaṃ brahmacariyaṃ pakāseti.	Buddh'ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	AN 10.48	pabbajitābhiṇhasuttaṃ	kamma-ssako’mhi, kamma-dāy’ādo, kamma-yoni, kamma-bandhu, kamma-paṭisaraṇo. yaṃ kammaṃ karissāmi, <b>kalyāṇaṃ</b> vā pāpakaṃ vā, tassa dāy’ādo bhavissāmī’ti	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Reflection by One Gone Forth	Reflections	VIN PAT SA 12	dubbaca sikkhāpada	‘mā maṃ āyasmanto kiñci avacuttha <b>kalyāṇaṃ</b> vā pāpakaṃ vā, ahaṃ'p'āyasmante na kiñci vakkhāmi kalyāṇaṃ vā pāpakaṃ vā				02n	kalyāṇ	aī adj	83	11	247	[sound:kalyāṇa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=kalyāṇa 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
avacuttha	p	6	aor	2nd pl	vacati			ditrans	+acc	you all said (something) (to)			√vac 1 a (to say, speak)		a + √vac + uttha	avocat	√vac				VIN PAT SA 11	bhedānuvattaka sikkhāpada	“mā, āyasmanto, etaṃ bhikkhuṃ kiñci <b>avacuttha</b>. dhammavādī c'eso bhikkhu vinayavādī c'eso bhikkhu amhākañ’c'eso bhikkhu chandañ’ca ruciñ’ca ādāya voharati, jānāti no bhāsati amhākam'p'etaṃ khamatī”ti										VIN PAT SA 12	dubbaca sikkhāpada	‘mā maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā, ahaṃ'p'āyasmante na kiñci vakkhāmi kalyāṇaṃ vā pāpakaṃ vā					!*	avoca aor	83			[sound:avacuttha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=avacuttha&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
kiñci 2	ps	6	pron	masc & nt acc sg	kaci					some; something; anything (object)					kiṃ + ci	kaḥ, kiṃcid					SN 12.63	puttamaṃsūpamasuttaṃ	manosañcetanāya āhāre pariññāte tisso taṇhā pariññātā honti. tīsu taṇhāsu pariññātāsu ariyasāvakassa n’atthi <b>kiñci</b> uttarikaraṇīyanti vadāmi.				SNP 13	ratanasuttaṃ<br/>cūḷavaggo 1	yaṃ <b>kiñci</b> vittaṃ idha vā huraṃ vā,  <br/>saggesu vā yaṃ ratanaṃ paṇītaṃ. <br/>na no samaṃ atthi tathāgatena,	Ratana-sutta		Protective Recitations	VIN PAT SA 12	dubbaca sikkhāpada	‘mā maṃ āyasmanto <b>kiñci</b> avacuttha kalyāṇaṃ vā pāpakaṃ vā, ahaṃ'p'āyasmante na kiñci vakkhāmi kalyāṇaṃ vā pāpakaṃ vā				52n	!*	kaci pron	83			[sound:kiñci.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=kiñci 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
dakkhati 1	pp	6	pr					trans	+acc	sees; finds			√dis 1 a (to see)	√dis + a > dakkha (irreg)	dakkha + ti	drakṣyati	√dṛś				SN 9.3	kassapagottasuttaṃ	suṇāti na vijānāti, āloketi na passati. dhammasmiṃ bhaññamānasmiṃ, atthaṃ bālo na bujjhati. “sace'pi dasa pajjote, dhārayissasi, kassapa. n’eva <b>dakkhati</b> rūpāni, cakkhu hi’ssa na vijjatī”ti.				SN 12.66	sammasasuttaṃ	ye’pi hi keci, bhikkhave, anāgatam’addhānaṃ samaṇā vā brāhmaṇā vā yaṃ loke piyarūpaṃ sātarūpaṃ taṃ aniccato dakkhissanti dukkhato dakkhissanti anattato <b>dakkhissanti</b> rogato dakkhissanti bhayato dakkhissanti, te taṇhaṃ pajahissanti.				DN 3.15	ambaṭṭhasuttaṃ	‘cakkhumanto rūpāni<b> dakkhantī</b>’ti; evam’evaṃ bhotā gotamena anekapariyāyena dhammo pakāsito.					!*	dakkhati pr	83				"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dakkhati 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
rūpa 3	psp	6	nt							object of the eye; shape; sight			√rūp 8 *e (to form, produce)		√rūp + a	rūpa	√rūp				DN 22.15	mahāsatipaṭṭhānasuttaṃ	idha yassa te honti aniṭṭhā akantā amanāpā <b>rūpā</b> saddā gandhā rasā phoṭṭhabbā dhammā, ye vā panassa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā				SN 35.28	ādittasuttaṃ	cakkhuṃ bhikkhave ādittaṃ, <b>rūpā</b> ādittā, cakkhuviññāṇaṃ ādittaṃ, cakkhusamphasso āditto.	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	DN 3.15	ambaṭṭhasuttaṃ	‘cakkhumanto <b>rūpāni</b> dakkhantī’ti; evam’evaṃ bhotā gotamena anekapariyāyena dhammo pakāsito.				39n	rūp	a nt	83	9	2001	[sound:rūpa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=rūpa 3&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
yaṃ 2	ssp	6	pron	masc fem & nt acc sg	ya					whoever; whatever; that which (object)					ya + aṃ						SNP 8	mettasuttaṃ<br/>uragavaggo	karaṇīyam’attha-kusalena <b>yaṃ</b> taṃ santaṃ padaṃ abhisamecca: <br/>sakko ujū ca sūjū ca, suvaco c’assa mudu, anatimānī.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	SN 56.11	dhammacakkappavattanasuttaṃ	appiyehi sampayogo dukkho, piyehi vippayogo dukkho, <b>yam</b>’p’icchaṃ na labhati tam’pi dukkhaṃ	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	VIN PAT NP 10	rāja sikkhāpada	‘<b>yaṃ</b> kho, bhante, āyasmā veyyāvaccakaraṃ niddisi, saññatto so mayā, upasaṅkamat'āyasmā kālena, cīvarena taṃ acchādessatī’ti. 				17n	y	a pron	83			[sound:yaṃ.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=yaṃ 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
mā avacuttha	np	6	idiom	ind + aor						(all of you) don’t say; don’t speak											SN 42.10	maṇicūḷakasuttaṃ	tena kho pana samayena maṇicūḷako gāmaṇi tassaṃ parisāyaṃ nisinno hoti. atha kho maṇicūḷako gāmaṇi taṃ parisaṃ etad'avoca, <b>mā</b> ayyā evaṃ <b>avacuttha</b>.										VIN PAT SA 12	dubbaca sikkhāpada	‘<b>mā</b> maṃ āyasmanto kiñci <b>avacuttha</b> kalyāṇaṃ vā pāpakaṃ vā, ahaṃ'p'āyasmante na kiñci vakkhāmi kalyāṇaṃ vā pāpakaṃ vā					!	mā avoca	83			[sound:mā avacuttha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mā avacuttha&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
cakkhumant 2	p	6	masc		cakkhu					person with sight; who can see; lit. having eyes quality			√cakkh 1 a (to see)		√cakkh + u + mant	cakṣuṣmat	√cakṣ																DN 3.15	ambaṭṭhasuttaṃ	‘<b>cakkhumanto</b> rūpāni dakkhantī’ti; evam’evaṃ bhotā gotamena anekapariyāyena dhammo pakāsito.					cakkhum	ant masc	83	6	209	[sound:cakkhumant.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=cakkhumant 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
mātugāma	ppp	6	masc	comp						woman; female; women in general; lit. collection of mothers					mātu + gāma	mātṛgrāma			(VIN 1.2.2) mātugāmo nāma manuss'itthī, na yakkhī na petī, na tiracchānagatā. antamaso tad'ahujātā'pi dārikā, pag'eva mahattarī.	masc in grammar, fem in meaning	VIN PAT SA 2	kāyasaṃsagga sikkhāpada	yo pana bhikkhu, otiṇṇo vipariṇatena cittena, <b>mātugāmena</b> saddhiṃ kāya-saṃsaggaṃ samāpajjeyya, hatthaggāhaṃ vā veṇiggāhaṃ vā aññatarassa vā aññatarassa vā aṅgassa parāmasanaṃ, saṅghādiseso.				VIN PAT PC 6	dutiyasahaseyya sikkhāpada	yo pana bhikkhu <b>mātugāmena</b> sahaseyyaṃ kappeyya, pācittiyaṃ.				VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu<b> mātugāmassa</b> uttarichappañcavācāhi dhammaṃ deseyya, aññatra viññunā purisaviggahena, pācittiyaṃ.					mātugām	a masc	83			[sound:mātugāma.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=mātugāma&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
viññū 1	sp	6	adj		vijānāti					wise; intelligent; discerning; knowledgeable			√ñā 5 nā (to know)		vi + √ñā + ū	vijña	√jñā										AN 10.48	pabbajitābhiṇhasuttaṃ	‘kacci nu kho maṃ anuvicca <b>viññū</b> sabrahmacārī sīlato na upavadantī’ti, pabbajitena abhiṇhaṃ paccavekkhitabbaṃ.	Dasadhammā pabbajita-abhiṇha-paccavekkhaṇā	Ten Subjects for Frequent Recollection by One Who Has Gone Forth	Reflections	VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseyya, aññatra <b>viññunā</b> purisaviggahena, pācittiyaṃ.				34n	viññ	ū adj	83	11	431	[sound:viññū.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=viññū 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
aññatra 2	ppp	6	ind	adv	añña				+instr +abl	apart (from); aside (from); other (than); except (for)					añña + tra	anyatra			(VIN 1.1.4) aññatra adhimānā'ti ṭhapetvā adhimānaṃ.		MN 36	mahāsaccakasuttaṃ	‘na kho ahaṃ tassa sukhassa bhāyāmi, yaṃ taṃ sukhaṃ aññatr’eva kāmehi <b>aññatra</b> akusalehi dhammehī’ti.				VIN PAT SA 1	sukkavissaṭṭhi sikkhāpada	“sañcetanikā sukka-vissaṭṭhi <b>aññatra</b> supin’antā saṅghādiseso”ti.				VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ deseyya, <b>aññatra</b> viññunā purisaviggahena, pācittiyaṃ.					-		83	13	632	[sound:aññatra.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=aññatra 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
deseti 1	ssp	6	pr				caus	trans	+acc	points out; preaches; expounds			√dis 1 *e (to point out, explain)	√dis + *e > dese (caus)	dese + ti	deśayati	√diś				AN 8.53	saṃkhittasuttaṃ	sādhu me bhagavā saṃkhittena dhammaṃ <b>desetu</b>, yam’ahaṃ bhagavato dhammaṃ sutvā ekā vūpakaṭṭhā appamattā ātāpinī pahit’attā vihareyyan’ti	Saṅkhitta-dhamma	The Dhamma in Brief	Teachings	AN 7.23	paṭhamasattakasuttaṃ	satta vo bhikkhave aparihāniye dhamme <b>desessāmi</b>. katame ca bhikkhave satta aparihāniyā dhammā?	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu mātugāmassa uttarichappañcavācāhi dhammaṃ <b>deseyya</b>, aññatra viññunā purisaviggahena, pācittiyaṃ.				27n	des	eti pr	83	14	1111	[sound:deseti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=deseti 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
purisaviggaha	p	6	masc	comp						male; lit. taken male form					purisa + viggaha	puruṣavigraha			(VINa) viññunā purisaviggahenā'ti viññunā purisena, purisaviggahaṃ gahetvā'pi ṭhitena na yakkhena na petena na tiracchānagatena.														VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu mātugāmassa uttari-chappañca-vācāhi dhammaṃ deseyya, aññatra viññunā <b>purisaviggahena</b>, pācittiyaṃ.					purisaviggah	a masc	83			[sound:purisaviggaha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=purisaviggaha&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
uttarichappañcavācā	p	6	fem	comp						more than five or six sentences					uttari + chappañca + vācā	uttarin + pañca + ṣaṣ + vācā			(VIN 2.1.7) uttarichappañcavācāhī'ti atirekachappañcavācāhi.														VIN PAT PC 7	dhammadesanā sikkhāpada	yo pana bhikkhu mātugāmassa <b>uttarichappañcavācāhi</b> dhammaṃ deseyya, aññatra viññunā purisaviggahena, pācittiyaṃ.					uttarichappañcavāc	ā fem	83			[sound:uttarichappañcavācā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=uttarichappañcavācā&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
atthi 2	ns	6	pr	3rd pl	atthi			intrans	+nom	there are; they are			√as 1 a (to be)		√as + ti > atthi	santi	√as			Kacc 494, 495 (ti > tthi)	SNP 46	pasūrasuttaṃ<br/>aṭṭhakavaggo 8	ye diṭṭhim'uggayha vivādayanti, idam'eva saccan'ti ca vādayanti,<br/>te tvaṃ vadassū na hi te'dha <b>atthi</b>, vādamhi jāte paṭisenikattā.										SNP 8	mettasuttaṃ<br/>uragavaggo 8	ye keci pāṇabhūtā-<b>atthi</b>, tasā vā thāvarā vā anavasesā,<br/>dīghā vā y'eva mahantā vā, majjhimā rassakā aṇukathūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	53n	!*	atthi pr	83	4	3596	[sound:atthi.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=atthi 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
anavasesa 1	s	6	adj		na avasesati	neg				all; without exception			√sis 8 *e (to remain, distinguish)		na + ava + √sis > ses + *a	an + avaśeṣa	√śiṣ																SNP 8	mettasuttaṃ<br/>uragavaggo 8	ye keci pāṇa-bhūt’atthi,  tasā vā thāvarā vā <b>anavasesā</b>,<br/>dīghā vā ye mahantā vā,  majjhimā rassak’āṇuka-thūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	53n	anavases	a adj	83			[sound:anavasesa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=anavasesa 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
thāvara	ps	6	adj		tiṭṭhati					stationary; immobile; firm; strong; (comm) without craving			√ṭhā 1 a (to stand)		√thā + [v] + a + ra	sthāvara	√sthā		(MNa) tasā vuccanti sataṇhā, thāvarā nittaṇhā.<br/>(KPa) tasantī'ti tasā, sataṇhānaṃ sabhayānañ'c'etaṃ adhivacanaṃ. tiṭṭhantī'ti thāvarā, pahīnataṇh'ābhayānaṃ arahataṃ etaṃ adhivacanaṃ.		DHP 405	brāhmaṇavaggo	nidhāya daṇḍaṃ bhūtesu, tasesu <b>thāvaresu</b> ca,<br/>yo na hanti na ghāteti, tam'ahaṃ brūmi brāhmaṇaṃ.										SNP 8	mettasuttaṃ<br/>uragavaggo 8	ye keci pāṇa-bhūt’atthi,  tasā vā <b>thāvarā</b> vā anavasesā,<br/>dīghā vā ye mahantā vā,  majjhimā rassak’āṇuka-thūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	53n	thāvar	a adj	83			[sound:thāvara.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=thāvara&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
tasa	ps	6	adj		tasati					movable; mobile; (or) in fear; trembling; (comm) with craving			√tas 1 a (to tremble, fear)		√tas + a	trasta	√tras		(MNa) tasā vuccanti sataṇhā, thāvarā nittaṇhā.<br/>(KPa) tasantī'ti tasā, sataṇhānaṃ sabhayānañ'c'etaṃ adhivacanaṃ. tiṭṭhantī'ti thāvarā, pahīnataṇh'ābhayānaṃ arahataṃ etaṃ adhivacanaṃ.		DHP 405	brāhmaṇavaggo	nidhāya daṇḍaṃ bhūtesu, <b>tasesu</b> thāvaresu ca,<br/>yo na hanti na ghāteti, tam'ahaṃ brūmi brāhmaṇaṃ.										SNP 8	mettasuttaṃ<br/>uragavaggo 8	ye keci pāṇa-bhūt’atthi,  <b>tasā</b> vā thāvarā vā anavasesā,<br/>dīghā vā ye mahantā vā,  majjhimā rassak’āṇuka-thūlā.	Karaṇīya-metta-sutta	The Buddha’s Words on Loving-Kindness	Protective Recitations	53n	tas	a adj	83			[sound:tasa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=tasa&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
