Pāli1	Fin	ex	POS	Grammar	Derived from	Neg	Verb	Trans	Case	Meaning IN CONTEXT	Meaning in native language	Meaning in SBS-PER	Pāli Root	Base	Construction	Sanskrit	Sk Root	Variant	Commentary	Notes	Source1	Sutta1	Example1	Pali chant 1	English chant 1	Chapter 1	Source2	Sutta2	Example2	Pali chant 2	English chant 2	Chapter 2	Source3	Sutta3	Example3	Pali chant 3	English chant 3	Chapter 3	Index	Stem	Pattern	Test	class	count	audio	Feedback
saṅkhāra 3	pss	2	masc		saṅkharoti					mental formation; mental activity; thought processes; fourth of the five aggregates; lit. making together			√kar 7 o (to do, make)		saṃ + √kar + *a	saṃskāra	√kṛ				SN 22.95	pheṇapiṇḍūpamasuttaṃ	‘pheṇa-piṇḍ’ūpamaṃ rūpaṃ, vedanā bubbuḷ’ūpamā. <br/>marīcik’ūpamā saññā, <b>saṅkhārā</b> kadal’ūpamā. <br/>māy’ūpamañ’ca viññāṇaṃ, desit’ādicca’bandhunā.				DN 22.15	mahāsatipaṭṭhānasuttaṃ	seyyath’īdaṃ rūp’ūpādānakkhandho vedan’ūpādānakkhandho saññ’ūpādānakkhandho <b>saṅkhār</b>’ūpādānakkhandho viññāṇ’ūpādānakkhandho	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem	SN 22.59	anattalakkhaṇasuttaṃ	saṅkhārā anattā. saṅkhārā ca h’idaṃ, bhikkhave, attā abhavissaṃsu, na’y’idaṃ <b>saṅkhārā</b> ābādhāya saṃvatteyyuṃ, labbhetha ca saṅkhāresu — ‘evaṃ me saṅkhārā hontu, evaṃ me saṅkhārā mā ahesun’ti.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	05n	saṅkhār	a masc	13	2	1013	[sound:saṅkhāra.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=saṅkhāra 3&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
upādāna 1	sss	2	nt		upādiyati					acquisition; appropriation; taking possession; grasping; clinging; lit. taking near			√ādā 3 ya (to take)		upa + √ādā + na	upādāna	ā√dā				SN 56.11	dhammacakkappavattanasuttaṃ	saṅkhittena pañc’<b>upādāna</b>-kkhandhā dukkhā	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	SN 12.2	vibhaṅgasuttaṃ	vedanā-paccayā taṇhā; taṇhā-paccayā <b>upādānaṃ</b>; <b>upādāna</b>-paccayā bhavo; bhava-paccayā jāti; jāti-paccayā jarāmaraṇaṃ soka-parideva-dukkhadomanass’upāyāsā sambhavanti.	Paṭicca-samuppāda	Dependent Origination	Teachings	SN 12.2	vibhaṅgasuttaṃ	saḷ'āyatana-nirodho, saḷ'āyatana-nirodhā, phassa-nirodho, phassa-nirodhā, vedanā-nirodho, vedanā-nirodhā, taṇhā-nirodho, taṇhā-nirodhā, <b>upādāna</b>-nirodho,	Paṭicca-samuppāda	Dependent Origination	Teachings	17n	upādān	a nt	13	9	225	[sound:upādāna.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=upādāna 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
taṇhā	sss	2	fem							craving; wanting; desire; lit. thirst			√tas 6 ṇhā (to thirst)		√tas + ṇhā + ā	tṛṣṇā	√tṛṣ				AN 7.23	paṭhamasattakasuttaṃ	yāvakīvañ’ca bhikkhave bhikkhū uppannāya <b>taṇhāya</b> ponobhavikāya na vasaṃ gacchissanti, vuddhi’y’eva pāṭikaṅkhā no parihāni	Aparihāniya-dhammā	Principles of Non-Decline	Teachings	SN 12.2	vibhaṅgasuttaṃ	vedanā-paccayā <b>taṇhā</b>; <b>taṇhā</b>-paccayā upādānaṃ; upādāna-paccayā bhavo; bhava-paccayā jāti; jāti-paccayā jarāmaraṇaṃ soka-parideva-dukkhadomanass’upāyāsā sambhavanti.	Paṭicca-samuppāda	Dependent Origination	Teachings	SN 12.2	vibhaṅgasuttaṃ	saḷ'āyatana-nirodho, saḷ'āyatana-nirodhā, phassa-nirodho, phassa-nirodhā, vedanā-nirodho, vedanā-nirodhā, <b>taṇhā</b>-nirodho, <b>taṇhā</b>-nirodhā, upādāna-nirodho,	Paṭicca-samuppāda	Dependent Origination	Teachings	27n	taṇh	ā fem	13	7	607	[sound:taṇhā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=taṇhā&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vedanā 1	pss	2	fem		vedeti					sensation; feeling; felt experience			√vid 8 *e (to know, sense, feel)		√vid > ved + *anā	vedeti, vedanā	√vid				SN 22.95	pheṇapiṇḍūpamasuttaṃ	‘pheṇa-piṇḍ’ūpamaṃ rūpaṃ, <b>vedanā</b> bubbuḷ’ūpamā. <br/>marīcik’ūpamā saññā, saṅkhārā kadal’ūpamā. <br/>māy’ūpamañ’ca viññāṇaṃ, desit’ādicca’bandhunā.				DN 22.15	mahāsatipaṭṭhānasuttaṃ	seyyath’īdaṃ rūp’ūpādānakkhandho <b>vedan’</b>ūpādānakkhandho saññ’ūpādānakkhandho saṅkhār’ūpādānakkhandho viññāṇ’ūpādānakkhandho	Ratanattaya-paṇāma	Salutation to the Triple Gem	Homage to the Triple Gem	SN 12.2	vibhaṅgasuttaṃ	saḷ'āyatana-nirodho, saḷ'āyatana-nirodhā, phassa-nirodho, phassa-nirodhā, <b>vedanā</b>-nirodho, <b>vedanā</b>-nirodhā, taṇhā-nirodho, taṇhā-nirodhā, upādāna-nirodho,	Paṭicca-samuppāda	Dependent Origination	Teachings	05n	vedan	ā fem	13	7	2407	[sound:vedanā.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vedanā 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
phassa	pss	2	masc		phusati					touch; contact; sense impingement			√phus 1 a (to touch)		√phus > phas + a	sparśa	√spṛś				SN 12.63	puttamaṃsūpamasuttaṃ	cattāro’me āhārā bhūtānaṃ vā sattānaṃ ṭhitiyā sambhav’esīnaṃ vā anuggahāya : kabaḷīkāro āhāro oḷāriko vā sukhumo vā, <b>phasso</b> dutiyo, mano-sañcetanā tatiyā, viññāṇaṃ catutthaṃ				SN 12.2	vibhaṅgasuttaṃ	avijjā-paccayā saṅkhārā; saṅkhāra-paccayā viññāṇaṃ; viññāṇa-paccayā nāmarūpaṃ; nāmarūpa-paccayā saḷ'āyatanaṃ; saḷ'āyatana-paccayā <b>phasso</b>; <b>phassa</b>-paccayā vedanā	Paṭicca-samuppāda	Dependent Origination	Teachings	SN 12.2	vibhaṅgasuttaṃ	saḷ'āyatana-nirodho, saḷ'āyatana-nirodhā, <b>phassa</b>-nirodho, <b>phassa</b>-nirodhā, vedanā-nirodho, vedanā-nirodhā, taṇhā-nirodho, taṇhā-nirodhā, upādāna-nirodho,	Paṭicca-samuppāda	Dependent Origination	Teachings	23n	phass	a masc	13	2	467	[sound:phassa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=phassa&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
pāda 1	ss	2	masc							leg; foot			√pad 3 ya (to go, step)		√pad + *a	pāda	√pad										DN 22.5	mahāsatipaṭṭhānasuttaṃ	ayaṃ kho me kāyo uddhaṃ <b>pāda</b>-talā adho kesa-matthakā taca-pariyanto pūro nānappakārassa asucino	Dvattiṃs’ākāra-paccavekkhaṇa	The Thirty-Two Parts	Protective Recitations	MN 107	gaṇakamoggallānasuttaṃ	rattiyā majjhimaṃ yāmaṃ dakkhiṇena passena sīhaseyyaṃ kappeyyāsi <b>pāde</b> pādaṃ accādhāya sato sampajāno uṭṭhānasaññaṃ manasikaritvā	Anupubba-sikkhā	The Gradual Training	Teachings	35n	pād	a masc	13	2	488	[sound:pāda.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=pāda 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
sambuddha 1	sss	2	masc	pp	sambujjhati					one who has thoroughly understood; being enlightened; the Buddha			√budh 3 ya (to wake up)		saṃ + √budh + ta		√budh				SN 6.2	gāravasuttaṃ	ye ca atītā <b>sambuddhā</b>, ye ca buddhā anāgatā. <br/>yo c’eta’r’ahi <b>sambuddho</b>, bahunnaṃ soka-nāsano.	Dhamma-gārava	Respect for the Dhamma	Verses	SN 11.3	dhajaggasuttaṃ	arahaṃ sammā-<b>sambuddho</b> vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṃ buddho bhagavā	Buddh’ābhitthuti	Homage to the Buddha	Homage to the Triple Gem	Trad		namo tassa bhagavato arahato sammā-<b>sambuddhassa</b>	Pubba-bhāga-nama-kāra-pāṭho		Protective Recitations	02n	sambuddh	a masc	13	5	71	[sound:sambuddha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sambuddha 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
arahato	s	2	masc	dat sg	arahant					for the Worthy One; for enlightened being			√arah 1 a (to deserve, be worthy)		√arah + ant + to<br/>arahant + to	arhante	√arh																Trad		namo tassa bhagavato <b>arahato</b> sammā-sambuddhassa	Pubba-bhāga-nama-kāra-pāṭho		Protective Recitations	00n	*	arahant masc	13			[sound:arahato.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=arahato&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bhagavato 1	ss	2	masc	dat sg	bhagavant					to the Buddha; for the Sublime One; for the Blessed One			√bhaj 1 a (to divide, distribute)		√bhaj > bhag + a + vant + to<br/>bhaga + vato	bhagavate	√bhaj										SN 22.59	anattalakkhaṇasuttaṃ	tatra kho bhagavā pañcavaggiye bhikkhū āmantesi — “bhikkhavo”ti. “bhadante”ti te bhikkhū <b>bhagavato</b> paccassosuṃ. bhagavā etadavoca.	Anatta-lakkhaṇa-sutta	The Discourse on the Characteristic of Not-Self	Cardinal Suttas	Trad		namo tassa <b>bhagavato</b> arahato sammā-sambuddhassa	Pubba-bhāga-nama-kāra-pāṭho		Protective Recitations	38n	!bhagav	ant masc	13			[sound:bhagavato.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bhagavato 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
tassa 1	ps	2	pron	masc & nt dat sg	ta					to him; for him; to that; for that					ta + ssa	tvasmai					SN 1.41	ādittasuttaṃ	ādittasmiṃ agārasmiṃ, yaṃ nīharati bhājanaṃ. taṃ <b>tassa</b> hoti atthāya, no ca yaṃ tattha ḍayhati.										Trad		namo <b>tassa</b> bhagavato arahato sammā-sambuddhassa	Pubba-bhāga-nama-kāra-pāṭho		Protective Recitations	00n	!*	ta pron	13			[sound:tassa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=tassa 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
paṭiggaheti	pp	2	pr					trans	+acc	takes; accepts; receives			√gah 6 ṇhā (to grasp)	√gah + ṇhā > gaṇhā > gahe (irreg)	pati + gahe + ti	pratigrāhayati	√grah √grabh				VIN PAT SE 27	sakkaccapaṭiggahaṇasikkhāpadaṃ	sakkaccaṃ piṇḍapātaṃ <b>paṭiggahessāmī</b>'ti sikkhā karaṇīyā.										VIN PAT SK 55	sāmisa sikkhāpada	na sāmisena hatthena pānīyathālakaṃ <b>paṭiggahessāmī</b>'ti sikkhā karaṇīyā.					paṭiggah	eti pr	13		30	[sound:paṭiggaheti.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=paṭiggaheti&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
pānīyathālaka	p	2	nt	comp						water cup; drinking bowl					pānīya + thālaka	pānīya + sthāla, sthālaka (bsk)																	VIN PAT SK 55	sāmisa sikkhāpada	na sāmisena hatthena <b>pānīyathālakaṃ</b> paṭiggahessāmī'ti sikkhā karaṇīyā.					pānīyathālak	a nt	13			[sound:pānīyathālaka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=pānīyathālaka&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
hattha 1	ppp	2	masc							hand						hasta					VIN PAT SA 2	kāyasaṃsagga sikkhāpada	yo pana bhikkhu, otiṇṇo vipariṇatena cittena, mātugāmena saddhiṃ kāya-saṃsaggaṃ samāpajjeyya, <b>hattha</b>-ggāhaṃ vā veṇiggāhaṃ vā aññatarassa vā aññatarassa vā aṅgassa parāmasanaṃ, saṅghādiseso.				MN 22	alagaddūpamasuttaṃ	yaṃnūn’āhaṃ tiṇa-kaṭṭha-sākhā-palāsaṃ saṃkaḍḍhitvā, kullaṃ bandhitvā, taṃ kullaṃ nissāya <b>hatthehi</b> ca pādehi ca vāyamamāno sotthinā pāraṃ uttareyyan’ti.				VIN PAT SK 55	sāmisa sikkhāpada	na sāmisena <b>hatthena</b> pānīyathālakaṃ paṭiggahessāmī'ti sikkhā karaṇīyā.					hatth	a masc	13	2	254	[sound:hattha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=hattha 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
sāmisa 2	p	2	adj		āmisa					soiled; dirty					sa + āma + isa<br/>sa + āmisa	sāmiṣa																	VIN PAT SK 55	sāmisa sikkhāpada	na <b>sāmisena</b> hatthena pānīyathālakaṃ paṭiggahessāmī'ti sikkhā karaṇīyā.					sāmis	a adj	13			[sound:sāmisa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=sāmisa 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
niraya	psp	2	masc		aya					hell; lit. no good fortune			√i 1 a (to come, go)		nir + √i > ay + *a	niraya	√i				AN 6.63	nibbedhikasuttaṃ	atthi āsavā <b>niraya</b>-gamanīyā, atthi āsavā tiracchānayoni-gamanīyā, atthi āsavā pettivisaya-gamanīyā, atthi āsavā manussaloka-gamanīyā, atthi āsavā devaloka-gamanīyā.				TH 195	dhammikattheragāthā	na hi dhammo adhammo ca, ubho sama-vipākino. <br/>adhammo <b>nirayaṃ</b> neti, dhammo pāpeti suggatiṃ.	Dhamma-gārava	Respect for the Dhamma	Verses	MN 4	bhayabheravasuttaṃ	micchādiṭṭhi-kamma-samādānā; te kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ <b>nirayaṃ</b> upapannā.				07n	niray	a masc	13	2	780	[sound:niraya.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=niraya&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
vinipāta	pp	2	masc							state of suffering; lit. bad fall			√pat 1 a (to fall)		vi + ni + √pat + *a	vinipāta	√pat										SN 12.41	pañcaverabhayasuttaṃ	so ākaṅkhamāno attanā’va attānaṃ byākareyya - khīṇanirayo’mhi khīṇa-tiracchānayoni khīṇa-pettivisayo khīṇ’āpāya-duggati-vinipāto sot’āpanno’ham’asmi a-<b>vinipāta</b>-dhammo niyato sambodhi-parāyaṇo’ti				MN 4	bhayabheravasuttaṃ	micchādiṭṭhi-kamma-samādānā; te kāyassa bhedā paraṃ maraṇā apāyaṃ duggatiṃ <b>vinipātaṃ</b> nirayaṃ upapannā.					vinipāt	a masc	13	2	295	[sound:vinipāta.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=vinipāta&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
saṅgha 1	psp	2	masc		saṅghaṭeti					community; assembly of monks			√ghaṭ 1 a (to join)		saṃ + √ghaṭ + a	saṃgha	√jhaṭ				DN 1.1	brahmajālasuttaṃ	evaṃ me sutaṃ, ekaṃ samayaṃ bhagavā antarā ca rājagahaṃ antarā ca nāḷandaṃ addhānamaggappaṭipanno hoti mahatā bhikkhu-<b>saṅghena</b> saddhiṃ pañcamattehi bhikkhusatehi				AN 4.180	mahāpadesasuttaṃ	asukasmiṃ nāma āvāse <b>saṅgho</b> viharati sathero sapāmokkho. tassa me saṅghassa sammukhā sutaṃ sammukhā paṭiggahitaṃ	Cattāro mahāpadesā	The Four Great References	Teachings	AN 8.19	pahārādasuttaṃ	kiñcāpi so hoti majjhe bhikkhusaṅghassa sannisinno, atha kho so ārakāva <b>saṅghamhā</b> <b>saṅgho</b> ca tena.				25n	saṅgh	a masc	13	2	1396	[sound:saṅgha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=saṅgha 1&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
upāyāsa	pss	2	masc		āyāsa					affliction; agitation; trouble; despair			√yas 3 ya (to strive, struggle)		upa + ā + √yas + *a	upāyāsa. āyāsa	√yas				MN 2.2	sabbāsavasuttaṃ	diṭṭhi-saṃyojana-saṃyutto, bhikkhave, assutavā puthujjano na parimuccati jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi <b>upāyāsehi</b>				SN 56.11	dhammacakkappavattanasuttaṃ	jāti’pi dukkhā, jarāpi dukkhā, maraṇam’pi dukkhaṃ, soka-parideva-dukkha-domanass’<b>upāyāsā</b>’pi dukkhā	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’agginā, dos’agginā, moh’agginā ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi <b>upāyāsehi</b> ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	17n	upāyās	a masc	13	2	85	[sound:upāyāsa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=upāyāsa&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
domanassa	sss	2	nt	abstr	dur manas					(mental) suffering; melancholy; dejection; depression; dissatisfaction			√man 3 ya (to think)		dur + √man + as + ya	daurmanasya	√man				SN 56.11	dhammacakkappavattanasuttaṃ	jāti’pi dukkhā, jarāpi dukkhā, maraṇam’pi dukkhaṃ, soka-parideva-dukkha-<b>domanass’</b>upāyāsā’pi dukkhā	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	DN 22.18	mahāsatipaṭṭhānasuttaṃ	idha, bhikkhave, bhikkhu kāye kāy’ānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhā-<b>domanassaṃ</b>	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’agginā, dos’agginā, moh’agginā ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi dukkhehi <b>domanassehi</b> upāyāsehi ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	17n	domanass	a nt	13	9	278	[sound:domanassa.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=domanassa&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
dukkha 2	pss	2	nt							discomfort; suffering; pain; unease; unsatisfaction; problem; trouble			√dukkh 1 a (to be painful)		√dukkh + a	duḥkha	√duḥkh				MN 2.2	sabbāsavasuttaṃ	’so ‘idaṃ <b>dukkhan</b>’ti, ‘ayaṃ <b>dukkha</b>-samudayo’ti, ‘ayaṃ <b>dukkha</b>-nirodho’ti, ‘ayaṃ <b>dukkha</b>-nirodha-gāminī paṭipadā’ti yoniso manasi karoti.				DN 22.18	mahāsatipaṭṭhānasuttaṃ	yaṃ kho bhikkhave <b>dukkhe</b> ñāṇaṃ, <b>dukkha</b>-samudaye ñāṇaṃ, <b>dukkha</b>-nirodhe ñāṇaṃ, <b>dukkha</b>-nirodha-gāminiyā paṭipadāya ñāṇaṃ, ayaṃ vuccati bhikkhave sammādiṭṭhi.   	Ariy’aṭṭhaṅgika-magga	The Noble Eightfold Path	Teachings	SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’agginā, dos’agginā, moh’agginā ādittaṃ, jātiyā jarāya maraṇena sokehi paridevehi <b>dukkhehi</b> domanassehi upāyāsehi ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	21n	dukkh	a nt	13	9	3094	[sound:dukkha.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=dukkha 2&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
parideva	sss	2	masc		paridevati					lamentation; wailing; crying			√dev 1 a (to lament)		pari + √dev + a	parideva	√div				SN 56.11	dhammacakkappavattanasuttaṃ	jāti’pi dukkhā, jarā’pi dukkhā, maraṇam’pi dukkhaṃ, soka-<b>parideva</b>-dukkha-domanass'upāyāsā’pi dukkhā	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	SN 12.2	vibhaṅgasuttaṃ	aññatar’aññatarena dukkha-dhammena phuṭṭhassa; ādevo <b>paridevo</b>, ādevanā paridevanā	Paṭicca-samuppāda	Dependent Origination	Teachings	SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’agginā, dos’agginā, moh’agginā ādittaṃ, jātiyā jarāya maraṇena sokehi <b>paridevehi</b> dukkhehi domanassehi upāyāsehi ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	17n	paridev	a masc	13	2	87	[sound:parideva.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=parideva&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
soka	sss	2	masc		socati					grief; sorrow			√suc 1 a (to grieve)		√suc > sok + *a	śoka	√śuc				SN 56.11	dhammacakkappavattanasuttaṃ	jāti’pi dukkhā, jarā’pi dukkhā, maraṇam’pi dukkhaṃ, <b>soka</b>-parideva-dukkha-domanass'upāyāsā’pi dukkhā	Dhamma-cakkappavattana	Setting in Motion The Wheel of Dhamma	Teachings	VIBH 4.1.1	dukkhasaccaṃ	aññatar’aññatarena byasanena samannāgatassa, aññatar’aññatarena dukkha-dhammena phuṭṭhassa; <b>soko</b>, socanā, socitattaṃ, antosoko antoparisoko	Paṭicca-samuppāda	Dependent Origination	Teachings	SN 35.28	ādittasuttaṃ	kena ādittaṃ? ‘rāg’agginā, dos’agginā, moh’agginā ādittaṃ, jātiyā jarāya maraṇena <b>sokehi</b> paridevehi dukkhehi domanassehi upāyāsehi ādittan’ti vadāmi	Āditta-pariyāya-sutta	The Fire Sermon	Cardinal Suttas	17n	sok	a masc	13	2	137	[sound:soka.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=soka&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
bheda 3	ssp	2	masc		bhindati					breaking-up (of); breaking apart (of); death			√bhid 2 ṃa (to break, split)		√bhid > bhed + *a	bheda	√bhid				SN 12.2	vibhaṅgasuttaṃ	yā tesaṃ tesaṃ sattānaṃ tamhā tamhā sattanikāyā cuti cavanatā <b>bhedo</b> antaradhānaṃ maccu maraṇaṃ kālakiriyā khandhānaṃ <b>bhedo</b> kaḷevarassa nikkhepo jīvit’indriyass'upacchedo, idaṃ vuccati maraṇaṃ.	Paṭicca-samuppāda	Dependent Origination	Teachings	TH 251	raṭṭhapālattheragāthā	duma-pphalānī’va patanti māṇavā, daharā ca vuḍḍhā ca sarīra-<b>bhedā</b>. <br/>etam’pi disvā pabbajito’mhi rāja, apaṇṇakaṃ sāmaññam’eva seyyo.	Raṭṭhapāla-thera-gāthā	From the Elder Raṭṭhapāla	Verses	MN 45	cūḷadhammasamādānasuttaṃ	kāyassa <b>bhedā</b> paraṃ maraṇā apāyaṃ duggatiṃ vinipātaṃ nirayaṃ upapajjanti.				12n	bhed	a masc	13	2	1076	[sound:bheda.mp3]	"Spot a mistake? <a class=""link"" href=""https://docs.google.com/forms/d/e/1FAIpQLSc0KxEDyN5G2Mqr4t3AvDpXxSOIbIBi0GrZsAGhDB207sjLow/viewform?usp=pp_url&entry.438735500=bheda 3&entry.644913945=Anki Deck Vocab Beginner Pāli Course"">Fix it here</a>."
